start,end,today,Consentimiento Informado,FECHA DE DILIGENCIAMIENTO,Departamento,informacion,CENTRO_EDUCATIVO,texto,hashtag,frecuencia,relaciona_historia,La apropiación y uso de herramientas tecnológicas ,La forma como están organizadas las rutinas diarias,La vinculación de las familias a las propuestas del centro infantil,Los momentos de alimentación de las niñas y los niños,El desempeño de los agentes educativos y sus prácticas,La disposición intencionada de los espacios y ambientes,La calidad de las interacciones entre los actores,El acompañamiento a las transiciones de las niñas y los niños,La documentación de las experiencias realizadas en el centro infantil,El trabajo colaborativo entre los agentes educativos ,acto_principal,Otro,sentiste,habilidades,Habilidades artística,Habilidades comunicativas,Habilidades socioemocionales,Habilidades manuales,Habilidades socio-ambientales,Ninguna de las anteriores,competencias,Trabajo Colaborativo,Comunicación,Pensamiento Crítico,Resolución de problemas,Manejo de herramientas tecnológicas,Manejo de la información,Creatividad e Innovación,Vida y Carrera,rol,_id,_uuid,_submission_time,_validation_status,_index
2020-06-17T10:36:33.167-05:00,2020-06-17T10:41:07.983-05:00,2020-06-16,Sí,2020-06-17,Antioquia,,CE corporación Educativa Jesús amigo,"En una ocasión me retiraron un niño que solo llevaba una semana en el centro infantil, y como se quedaba llorando la mamá mejor lo retiro que porque cuándo lloraba era porque yo le pegaba...",Tristeza,Única vez,La vinculación de las familias a las propuestas del centro infantil.,0,0,1,0,0,0,0,0,0,0,Familias y otras personas significativas,,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Trabajo Colaborativo.,1,0,0,0,0,0,0,0,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,105088291,16159d06-21a0-4c37-b244-de6ddb3dad04,2020-06-17T15:41:09,,7
2020-06-17T10:39:07.169-05:00,2020-06-17T10:47:24.933-05:00,2020-06-16,Sí,2020-06-17,Antioquia,,CE corporación Educativa Jesús amigo,La caracterización para la celebración de fechas especiales o para transmitir algún mensaje a los niños y las niñas siento que se convierte en un aliado muy valioso en el quehacer pedagogico.,Motivación,De vez en cuando,La disposición intencionada de los espacios y ambientes. La calidad de las interacciones entre los actores. El trabajo colaborativo entre los agentes educativos.,0,0,0,0,0,1,1,0,0,1,Otro,"Niños, niñas y agentes educativos",Fui muy honesto y conté lo que me pasó,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar. Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.",1,1,0,0,0,0,Trabajo Colaborativo. Creatividad e Innovación. Vida y Carrera.,1,0,0,0,0,0,1,1,Potenciar el desarrollo de los niños y las niñas.,105088920,334ea92c-7942-4277-a72f-f7f8fe109970,2020-06-17T15:44:15,,8
2020-06-17T10:34:51.138-05:00,2020-06-17T10:44:17.098-05:00,2020-06-16,Sí,2020-06-17,Antioquia,,CE corporación Educativa Jesús amigo,"Hola, hoy quiero compartir una historias que me toco el alma el día de ayer, una de las familias de los niños que acompañamos estan pasando por una situación muy complicada, son muy pocos los recursos que pueden llevar a casa. El padre es  quien lleva las cosas a la casa y hace pocos dias  se dio cuenta que su cuerpo esta infectado con el Covid-19, esta familia esta muy triste porque deben hacerle la prueba a loa dos niños de la casa.",Tristeza,Única vez,La calidad de las interacciones entre los actores.,0,0,0,0,0,0,1,0,0,0,Familias y otras personas significativas,,Fui muy honesto y conté lo que me pasó,Ninguna de las anteriores,0,0,0,0,0,1,Resolución de problemas.,0,0,0,1,0,0,0,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,105088929,71365ece-13c2-4f22-82b2-705b52fbbd91,2020-06-17T15:44:18,,9
2020-06-17T10:37:00.953-05:00,2020-06-17T10:45:09.614-05:00,2020-06-16,Sí,2020-06-17,Antioquia,,CE corporación Educativa Jesús amigo,"Mi historia  es verdaderamente  emocionante ,  cuando era niña , adolescente soñaba en ser adulta , queria tener hijos, ser independiente de mis padres ,  cuando creci , me di cuenta de lo importante que pensaba de niña , porque ahora soy una mujer , madre  y docente independiente y empoderada , mi mayor deseo es salir adelante , demostrarle al mundo entero de que soy y siempre sere  feliz con lo que DIos me dio.",Orgullo,Todo el tiempo,La forma como están organizadas las rutinas diarias.,0,1,0,0,0,0,0,0,0,0,Otro,Mi familia,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Vida y Carrera.,0,0,0,0,0,0,0,1,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,105089095,c99e514f-b8e2-4039-9444-134b0d56fecd,2020-06-17T15:45:19,,10
2020-06-17T10:34:48.988-05:00,2020-06-17T10:46:14.752-05:00,2020-06-16,Sí,2020-06-17,Antioquia,,CE corporación Educativa Jesús amigo,"El centro educativo en el que laboró  es de mi propiedad y estoy en convenio con buen comienzo, pero siempre siento mis niños como algo mío y me apego mucho a ellos , ellos duran 3 años en el programa , cuando terminan el proceso, me siento sola y pienso que no volveré  a encontrar otros así  me apegó mucho, pero lo más  interesante es que vuelvo a encariñarme; ya que amo mi labor, la disfruto y no me veo laborando en otro lugar.",Motivación,Todo el tiempo,El desempeño de los agentes educativos y sus prácticas. La disposición intencionada de los espacios y ambientes. La calidad de las interacciones entre los actores.,0,0,0,0,1,1,1,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Resolución de problemas.,0,0,0,1,0,0,0,0,"Fortalecerme como agente educativo para alcanzar mis proyectos personales, familiares y profesionales.",105089265,797b3233-30c7-46e1-8ffc-ab14ff472939,2020-06-17T15:46:38,,11
2020-06-17T10:37:36.681-05:00,2020-06-17T10:49:47.312-05:00,2020-06-16,Sí,2020-06-17,Antioquia,,CE corporación Educativa Jesús amigo,Un 17 de enero del 2020 nació una hermosa niña llamada dulce Maria está linda y hermosa bebé llego a esten mundo a darle muchas alegrías a su papi y mami cada día que pasa  es un dia lindo y hermoso para estas tres personitas por que estamos viviendo una experiencia muy bonitas en nuestros días y cada día q pasa es más grande ese amor y felicidad que la pequeña bebé trajo a esté mundo la bebé ahora el tiene 5 meses y su padre y madre está muy contentos por que cada día q pasa estan más grande hermosa y aprende más cosas y así poco a poco la pequeña dulcemaria llega a estan linda familia a llenar de felicidad y mucho amor,Alegría,Todo el tiempo,La forma como están organizadas las rutinas diarias.,0,1,0,0,0,0,0,0,0,0,Niños/niñas,No aplica,Fui muy honesto y conté lo que me pasó,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar. Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.",1,1,0,0,0,0,Creatividad e Innovación.,0,0,0,0,0,0,1,0,Potenciar el desarrollo de los niños y las niñas.,105089968,a5b5fb35-6345-491d-ac86-d03d66af6f70,2020-06-17T15:49:50,,12
2020-06-17T10:37:40.749-05:00,2020-06-17T10:50:10.985-05:00,2020-06-16,Sí,2020-06-17,Antioquia,,CE corporación Educativa Jesús amigo,"una experiencia significativa fue una propuesta que se hizo al culminar el año en donde ellos querían tener una noche de navidad con papá Noel. Fue el trabajo no solo de las agentes educativas sino también de las familias pensarnos en un espacio mágico para ellos, continua siendo significativo para mi porque quedo plasmado en mi mente la alegría de los niños y de las niñas y la gratitud de las familias.",Orgullo,De vez en cuando,La vinculación de las familias a las propuestas del centro infantil. La disposición intencionada de los espacios y ambientes. La calidad de las interacciones entre los actores. El trabajo colaborativo entre los agentes educativos.,0,0,1,0,0,1,1,0,0,1,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar.",1,0,0,0,0,0,Creatividad e Innovación.,0,0,0,0,0,0,1,0,Potenciar el desarrollo de los niños y las niñas.,105090015,ae5e7f35-ed4a-4f88-80fd-af95fb119d72,2020-06-17T15:50:11,,13
2020-06-17T10:35:03.805-05:00,2020-06-17T10:51:00.182-05:00,2020-06-16,Sí,2020-06-17,Antioquia,,CE corporación Educativa Jesús amigo,"Mi narrativa no es de este año,pero si  de mi trayectoria laboral en primera infancia,al tener en mi grupo de niños y niñas,una niña con hipertomia muscular y dificultad para hablar,además que asistía al centro  infantil en silla de ruedas,era curiosidad de los demás niños y niñas,yo vivía pendiente de su pañal, alimentos especiales y demás ,no contaba con auxiliar ,entonces me tocó realizar un trabajo de sensibilización con las familias y los niños a cargo ademas porque el grupo era de 2 a 5 años mixto más  pequeños que grandes,y así ellos me ayudaron con las rutinas de la niña , igual teníamos tiempo para todo y con amor,ya ellos sabían cuando la niña estaba cansada en la silla y la pasábamos a otro lugar a realizar estimulación temprana,ellos mis mejores maestros ,cuando pensé que sería un año caótico fue el que mejores enseñanzas me dejó ,el amor de los niños y ese sentido de igualdad permitió que fuera un año exitoso .",Orgullo,Todo el tiempo,La vinculación de las familias a las propuestas del centro infantil. Los momentos de alimentación de las niñas y los niños. La disposición intencionada de los espacios y ambientes. El acompañamiento a las transiciones de las niñas y los niños.,0,0,1,1,0,1,0,1,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación. Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.",0,1,1,0,1,0,Trabajo Colaborativo. Resolución de problemas. Manejo de herramientas tecnológicas. Manejo de la Información y Comunicación.,1,0,0,1,1,1,0,0,Potenciar el desarrollo de los niños y las niñas.,105090209,7a709bee-ec71-451c-9018-2dbf774b9a3f,2020-06-17T15:51:02,,14
2020-06-17T10:46:02.574-05:00,2020-06-17T10:51:03.502-05:00,2020-06-16,Sí,2020-06-17,Antioquia,,CE corporación Educativa Jesús amigo,"En este tiempo de cuarentena , he aprendido a valorar lo que tengo,  no ha sido facil , adapartme a los cambios , pero me han ayudado asumir las dificultades , a manejar mis emociones , controlar mis impulsos y  a ser mas paciente ,  como agente educativa ,  suelo ser muy etrovertida , me gusta hacer todo muy bien y que me dalga muy bien , me siento orgullosa de mi quehacer .",Orgullo,Todo el tiempo,La disposición intencionada de los espacios y ambientes.,0,0,0,0,0,1,0,0,0,0,Agentes educativos,,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Resolución de problemas.,0,0,0,1,0,0,0,0,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,105090245,fc67d2cb-d966-4fe3-9a96-089646d45d2b,2020-06-17T15:51:13,,15
2020-06-17T10:35:21.162-05:00,2020-06-17T10:51:17.892-05:00,2020-06-16,Sí,2020-06-17,Antioquia,,CE corporación Educativa Jesús amigo,"El primer mes de trabajo de este año conocí a los niños y niñas que cambiaron por completo mi vida, día a día han Sido experiencias nuevas, algunos de los niños han Sido muy expresivos en su sentir respecto a las experiencias que actividades que comparten conmigo, con otros ha Sido más complejo el trabajo pero al final siempre llega a ser satisfactorio por que he descubierto muchas habilidades en cada uno de esos niños que poco hablan o que poco juegan con sus pares, y está aventura apenas comienza y estoy dispuesta a disfrutarla cada día más",Motivación,De vez en cuando,La forma como están organizadas las rutinas diarias. La calidad de las interacciones entre los actores.,0,1,0,0,0,0,1,0,0,0,Agentes educativos,No aplica,Reflexioné y aprendí algo nuevo,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,1,1,0,0,0,Trabajo Colaborativo. Pensamiento Crítico. Resolución de problemas. Manejo de la Información y Comunicación. Creatividad e Innovación.,1,0,1,1,0,1,1,0,"Fortalecerme como agente educativo para alcanzar mis proyectos personales, familiares y profesionales.",105090268,698e9c30-9dfd-4186-baee-b54797163341,2020-06-17T15:51:20,,16
