start,end,today,Consentimiento Informado,FECHA DE DILIGENCIAMIENTO,Departamento,informacion,CENTRO_EDUCATIVO,CENTRO_EDUCATIVO2,CENTRO_EDUCATIVO3,CENTRO_EDUCATIVO4,texto,hashtag,genera,frecuencia,relaciona_historia,La apropiación y uso de herramientas tecnológicas ,La forma como están organizadas las rutinas diarias,La vinculación de las familias a las propuestas del centro infantil,Los momentos de alimentación de las niñas y los niños,El desempeño de los agentes educativos y sus prácticas,La disposición intencionada de los espacios y ambientes,La calidad de las interacciones entre los actores,El acompañamiento a las transiciones de las niñas y los niños,La documentación de las experiencias realizadas en el centro infantil,El trabajo colaborativo entre los agentes educativos ,acto_principal,Otro,sentiste,habilidades,Habilidades artística,Habilidades comunicativas,Habilidades socioemocionales,Habilidades manuales,Habilidades socio-ambientales,Ninguna de las anteriores,competencias,Trabajo Colaborativo,Comunicación,Pensamiento Crítico,Resolución de problemas,Manejo de herramientas tecnológicas,Manejo de la información,Creatividad e Innovación,Vida y Carrera,rol,CONSENTIMIENTO,_id,_uuid,_submission_time,_validation_status,_index
2020-06-02T23:12:22.403-05:00,2020-06-02T23:31:18.003-05:00,2020-06-01,Sí,2020-06-01,Nariño,,CDI INSTITUCIONAL NUEVO AMANECER,CDI JARDINCITO DE AMOR,,,"La experiencia que se vive en los Centros de Desarrollo integral es algo inefable porque se contribuye de manera diversa a potencializar las habilidades sociales, emocionales, lingüística, afectiva, comunicativa y motra entren otras. Interactuar con los niños, explorar la necesidad que ellos viven en su contexto, contribuir a su aprendizaje, fomentar y promover los derecho de los niños y niñas para que tenga un desarrollo integral es algo satisfactorio para seguir en la lucha por la misma causa.",#Mi saber te enseña!,Motivación,Todo el tiempo,La vinculación de las familias a las propuestas del centro infantil El desempeño de los agentes educativos y sus prácticas El acompañamiento a las transiciones de las niñas y los niños,0,0,1,0,1,0,0,1,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,1,1,0,0,0,Trabajo Colaborativo Pensamiento Crítico Resolución de problemas Manejo de la Información y Comunicación,1,0,1,1,0,1,0,0,Dar cumplimiento a los criterios de calidad de la educación inicial en el marco de la atención integral.,,102542019,18f906d3-62ac-45b0-97b2-2d82b782cbc0,2020-06-03T04:28:31,,21
2020-06-01T19:29:38.381-05:00,2020-06-01T19:53:42.490-05:00,2020-05-31,Sí,2020-06-01,Antioquia,,CI AMIGO DE LOS NIÑOS SAN JAVIER,,,,fui docente de educación regular por 15 años en el mismo centro infantil y cuando me pasaron para modalidad Buen Comienzo casi renuncio.,#hashtag ACEPTACIÓN A LOS CAMBIO,Motivación,Todo el tiempo,El trabajo colaborativo entre los agentes educativos ,0,0,0,0,0,0,0,0,0,1,Otro,YO Viviana Yaneth Herrera Ortega,Fui muy honesto y conté lo que me pasó,"Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.",0,0,0,0,1,0,Vida y Carrera,0,0,0,0,0,0,0,1,"Fortalecerme como agente educativo para alcanzar mis proyectos personales, familiares y profesionales.",,102371438,5a2c1ab4-0d9f-478e-8f54-53430c722371,2020-06-02T00:53:43,,4
2020-06-01T19:47:20.357-05:00,2020-06-01T19:54:32.616-05:00,2020-05-31,Sí,2020-06-01,Antioquia,,CI ARANJUEZ BERLIN,,,,"Ver la corresponsabilidad, compromiso y disposición de muchas familias en esta situación de contingencia para participar de las experiencias diarias",#aprendiendo  en familia,Motivación,Todo el tiempo,La vinculación de las familias a las propuestas del centro infantil El desempeño de los agentes educativos y sus prácticas La calidad de las interacciones entre los actores El acompañamiento a las transiciones de las niñas y los niños El trabajo colaborativo entre los agentes educativos ,0,0,1,0,1,0,1,1,0,1,Familias y otras personas significativas,,Fui muy honesto y conté lo que me pasó,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar. Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",1,1,1,0,0,0,Trabajo Colaborativo Sostenibilidad Manejo de la Información y Comunicación Creatividad e Innovación,1,1,0,0,0,1,1,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,,102371448,5f16e973-2cae-4b7a-ba61-d4277234765a,2020-06-02T00:54:35,,5
2020-06-01T21:08:33.465-05:00,2020-06-01T22:18:46.568-05:00,2020-05-31,Sí,2020-06-01,Antioquia,,CI COR JESUS AMIGO,,,,"Cuando inicio el año 2020, el equipo se conformó, todos estábamos muy satisfechos y felices de compartir un año más de trabajo, alegrías, travesuras y mil situaciones que nos enriquecen y nos hacen sentir emociones fuertes y quizás hasta frustrantes, fueron pasando los días,  de repente se escuchó por los medios de comunicación que en China un nuevo virus se estaba gestando y posicionando en ese país, inocentes decíamos que eso solo pasaba por allá, incluso hacíamos chistes, bromas y nos reíamos a carcajadas al ver los memes y chanzas que salían en las redes sociales,  en marzo ya la situación fue cambiando, ya nos decían que no, nos saludáramos de abrazo y mucho menos de beso, las familias se sentían temerosas, la asistencia de los niños y niñas al centro infantil fue disminuyendo, las directivas de la institución tomaron una decisión, el 20 marzo iniciaríamos a hacer trabajo en casa, esto implicaba un montón de retos, todos decíamos y pensamos que eso solo era por 15 días, además que el trabajo por internet era más difícil y en efecto, como no estábamos familiarizados con las plataformas digitales, fue como volver a nacer, empezar a interactuar, a enamorar a los niños y niñas de este proceso, decirles que no salíamos a vacaciones , sino que el trabajo pedagógico seguía en casa, algunas familias no respondían de la mejor forma y no enviaban evidencias del trabajo en casa, me sentía frustrado, tensionado y en múltiples ocasiones pensé que no sería posible continuar, gracias a la desmotivación que sentía, otro aspecto negativo es que estaba acostumbrado al contacto social y ahora es una de las situaciones más difíciles de manejar, el hecho de no poder saludar a los niños y las niñas de abrazo, poder acercarme a las familias y decirles gracias con un abrazo, darles la mano y ni que decir de mi equipo de trabajo, como hace tantos años nos conocemos, siempre el abrazo, el beso, el apretón de manos y la cercanía, en estos momentos no es posible y en ocasiones pienso que ese vinculo tiende a desaparecer porque la situación de contacto ya no es posible, un día alguien me pregunto y ¿qué te motiva a continuar, porque no renuncias?, esa pregunta me cuestiono y en mi interior algo se emociono de nuevo y entonces supe que aunque, ya no este al lado de los niños, niñas, familias y mi equipo de trabajo, hay algo que nos une y ese algo es el amor por lo que hacemos, la gratitud y saber que lo que hacemos no lo hacemos por nosotros, sino por algo más grande “los niños y las niñas”, ellos merecen lo mejor, ahora  comprendo que la situación de muchas familias es difícil, no todas tienen las mismas posibilidades de conectividad, por eso ahora apoyo, ayudo más, y agradezco la oportunidad que se nos está dando de reinventarnos y si bien el confinamiento no ha terminado y el virus sigue vigente, aprenderé a vivir con el y siempre hare lo posible para que todos estemos bien.",#ABRAZOSAPLAZADOS,Tristeza,Todo el tiempo,La apropiación y uso de herramientas tecnológicas  La forma como están organizadas las rutinas diarias La calidad de las interacciones entre los actores El trabajo colaborativo entre los agentes educativos ,1,1,0,0,0,0,1,0,0,1,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,1,1,0,0,0,Trabajo Colaborativo Resolución de problemas,1,0,0,1,0,0,0,0,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,,102374792,b12a3ae2-c483-40a8-bf21-7abc94adc598,2020-06-02T03:18:48,,8
2020-06-01T18:18:12.396-05:00,2020-06-01T18:31:51.015-05:00,2020-05-31,Sí,2020-06-01,Antioquia,,CI EXPLORADORES DE SUEÑOS MIRANDA,,,,"En el momento, el manejo de la información tanto con agentes educativas como con auxiliares de pedagogía, a veces siento que no me escuchan, otras que ni entienden, les hago vídeo, vídeo llamada, reunión por zoom, escribo párrafos enteros,en fin. Ha sido muy frustrante, todo un desafío. Y para ellas también un reto, porque yo sé que también tienen muchas otras cosas que cumplir. Pero la verdad, esto es todo un reto, porque además la comunicación constantemente es de aclarar lo comunicado. Ahhh tremendo.",#lacomunicacionentiemposdepandemia,Motivación,De vez en cuando,La apropiación y uso de herramientas tecnológicas ,1,0,0,0,0,0,0,0,0,0,Otro,Auxiliares de pedagogía,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.",0,1,0,0,0,0,Resolución de problemas,0,0,0,1,0,0,0,0,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,,102369779,932ac16a-399b-497b-ac7a-403fa3abd8c6,2020-06-01T23:31:52,,2
2020-06-01T20:29:41.506-05:00,2020-06-01T20:49:08.470-05:00,2020-05-31,Sí,2020-06-01,Antioquia,,CI GRANDES TALENTOS,,,,"Llegue nueva a este centro infantil este año. llevo 10 años en la empresa, pero nunca en esta sede, la cual es nueva para la cooperativa tambien. al comenzar el año y recibir mi grupo, encontré un niño que se relacionaba poco con los adultos y no tenia manifestaciones de afecto, pues se mostraba timido. con el paso de los dias, comence a acercarme poco a poco, de una manera indirecta, que el no sintiera que mi proposito era  acercarme a el. con el paso de los dias comence a notar que el algunas veces me sonreia, otras que se debaja limpiar la cara sin hacer gestos de enojo, senti que se acercaba un poco mas y fue alli donde comprendi que no debia forzarlo, que era un proceso lento, pero que estaria segura tendria un buen resultado. lastimosamente pasamos a esto de la cuarentena y me he perdido de ese lindo avance que estaba logrando.",#acercandocorazones,Motivación,Única vez,La forma como están organizadas las rutinas diarias El desempeño de los agentes educativos y sus prácticas La disposición intencionada de los espacios y ambientes La calidad de las interacciones entre los actores El acompañamiento a las transiciones de las niñas y los niños,0,1,0,0,1,1,1,1,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar. Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",1,1,1,0,0,0,Trabajo Colaborativo Pensamiento Crítico Resolución de problemas Manejo de la Información y Comunicación Creatividad e Innovación,1,0,1,1,0,1,1,0,Potenciar el desarrollo de los niños y las niñas.,,102372468,83e1ed1e-448a-4d24-abaf-f93d2f553ad7,2020-06-02T01:49:09,,6
2020-06-02T14:19:18.723-05:00,2020-06-02T14:47:44.597-05:00,2020-06-01,Sí,2020-06-02,Antioquia,,CI CALMECAC NUEVO AMANECER,,,,"Todo comienza cuando un dia cualquiera luego de como agente educativa agotas todas las estrategias pedagogicas, afectivas e incluso psicologicas en relacion al manejo del control de esfinteres de uno de sus niños, se invita a la madre de familia a dialogar en relacion a ello dandole cuenta de el manejo que se le ha venido dando a la situacion ; la madre de familia al escuchar la version de la agente educativa se apoya de la coordinacion la cual esta desde su desconocimiento y delante de la familia no da cuenta del proceso por no esterarse e incluso cuestiona el manejo de la agente educativa desconociendo su version y apoyando la de la madre en donde resalta que su hijo aun es pequeño y esta situacion a su edad (4 años) es muy normal. Una situacion que me conmociono ya que con actitudes de cuestionamiento se vio de manera negativa mi quehacer en relacion a la situacion. DESEO QUE ESTE MENSAJE NO SEA DIVULGADO DE MANERA PUBLICA EN NINGUN MOMENTO . MUCHAS GRACIAS.",#unamiradavacia,Impotencia ,Todo el tiempo,El desempeño de los agentes educativos y sus prácticas La calidad de las interacciones entre los actores El trabajo colaborativo entre los agentes educativos ,0,0,0,0,1,0,1,0,0,1,Agentes educativos,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,1,1,0,0,0,Trabajo Colaborativo Manejo de la Información y Comunicación Vida y Carrera,1,0,0,0,0,1,0,1,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,,102519313,03d9d248-2f6b-4f3d-89b5-0b9ce6881a67,2020-06-02T19:47:45,,11
2020-06-02T09:33:22.475-05:00,2020-06-02T09:59:44.853-05:00,2020-06-01,Sí,2020-06-02,Antioquia,,CI COMUNIQUEMONOS SOL SOLECITO,,,,"Mila le gusta crear y narra historias a los niños y niñas, cuando Mila narra las historias con voz calida y suave reina la armonia y la tranquilidad, pero cuando Mila narra con cambio emocionales como bravo, triste, enojado y miedo , se dibuja en los rostros de los niños y niñas, suspenso, sorpresa y variedad de figura y expresiones en sus miradas.",Vaiven,Motivación,Todo el tiempo,El acompañamiento a las transiciones de las niñas y los niños,0,0,0,0,0,0,0,1,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.",0,1,0,0,0,0,Creatividad e Innovación,0,0,0,0,0,0,1,0,Potenciar el desarrollo de los niños y las niñas.,,102477985,6b4b0f71-6ae1-40de-b9bf-1a6059f16d5f,2020-06-02T14:59:46,,9
2020-06-02T16:39:11.309-05:00,2020-06-02T16:56:07.768-05:00,2020-06-01,Sí,2020-06-02,Antioquia,,CI COR JESUS AMIGO EL DIAMANTE,,,,"UN DÍA CUALQUIERA.          Son las 8:00 AM, todos los niños y las niñas, van llegando a la sala de desarrollo, unos felices, otros muy motivados se saludan, mientras que Tomás, llega a la puerta con lágrimas en su rostro y sus ojos rojos. Me le acercó y le pregunto: -¿Qué te pasa Tomas? Tomas en silencio continúa llorando. Se me acerca y le brindo mi mano para que me acompañe dónde sus otros compañeros. Empiezo a realizar la bienvenida y a saludar a todos los amigos y aún Tomás está a mi lado, pero no desea hablar. Poco a poco se fue calmando y en un momento me dice: - ¿Dónde está mi mamá? - Tu madre está trabajando. - Yo quiero estar con ella.- En la tarde ella regresa y pueden estar juntos. - Pero yo la quiero mucho. - y ella también te quiere mucho mucho. Lo abrazo y lo invitó a jugar, mientras lo voy motivando para que no esté más triste, le cuento anécdotas, le hago piruetas. Hasta que Tomás sonríe y se integra con sus otros amigos. Al final de la tarde, le pregunto: - ¿Cómo te sentiste hoy con tus amigos? - con mucho entusiasmo y con un rostro sonriente, me respondes: - Estuve muy feliz, mañana vuelvo.",Un día cualquiera,Tristeza,De vez en cuando,El desempeño de los agentes educativos y sus prácticas La disposición intencionada de los espacios y ambientes La calidad de las interacciones entre los actores El acompañamiento a las transiciones de las niñas y los niños La documentación de las experiencias realizadas en el centro infantil,0,0,0,0,1,1,1,1,1,0,Niños/niñas,,Reflexioné y aprendí algo nuevo,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar. Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación. Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.",1,1,1,0,1,0,Resolución de problemas Creatividad e Innovación,0,0,0,1,0,0,1,0,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,,102530013,65c3d4f0-5eca-44f3-b28a-6b77bc10215d,2020-06-02T21:56:16,,14
2020-06-02T18:02:51.997-05:00,2020-06-02T18:23:12.508-05:00,2020-06-01,Sí,2020-06-02,Antioquia,,CI FUN SJE AURES,,,,"Hace algún tiempo se acercó al centro infantil una señora gruñona, gritaba que le entregaramos una niña, me asustó ver esa actitud agresiva, no entendí porque quería llevarse a la niña en esas condiciones, le pregunté quién era y dijo ser la madre biológica. Le abrimos la puerta, le invite a calmarse para conversar y poder comprender lo que pasaba, no tuve éxito, la señora amenazó con ""encalambrarme"", no pudimos evitar que se llevará la niña. Al final sentí alivio de que no nos hubiera causado daño, sentí frustración e impotencia al no poder evitar que se llevará la niña. Luego llame a la madre sustituta y ella confirmo que esa señora era la madre y que siempre utilizaba la niña para pedir recursos de un programa del estado.",#Peligro en la Sede Aures,Motivación,Única vez,La vinculación de las familias a las propuestas del centro infantil La calidad de las interacciones entre los actores El trabajo colaborativo entre los agentes educativos ,0,0,1,0,0,0,1,0,0,1,Familias y otras personas significativas,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación. Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.",0,1,1,0,1,0,Trabajo Colaborativo Resolución de problemas Manejo de la Información y Comunicación,1,0,0,1,0,1,0,0,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,,102533165,81d3cc39-dd9a-4daa-b913-2df117da25ea,2020-06-02T23:23:14,,15
