FragmentID, NarrID, SessionStartDate, SessionEndDate, ServerEntryDate,1.1 La educación deberá enfocarse en-Cumplir con el plan de estudios,1.1 La educación deberá enfocarse en-El desarrollo socio emocional del estudiante,1.1 La educación deberá enfocarse en-Quality,1.1 La educación deberá enfocarse en-X,1.1 La educación deberá enfocarse en-Y,1.1 La educación deberá enfocarse en-NA,1.2 Estudiantes necesitan cultivar-Habilidades prácticas para la vida,1.2 Estudiantes necesitan cultivar-Fundamentos para un aprendizaje continuo,1.2 Estudiantes necesitan cultivar-Comprensión del mundo que los rodea,1.2 Estudiantes necesitan cultivar-X,1.2 Estudiantes necesitan cultivar-Y,1.2 Estudiantes necesitan cultivar-NA,1.3 Los colegios deben enfocarse en que los estudiantes...-Reflexionen sobre lo aprendido,1.3 Los colegios deben enfocarse en que los estudiantes...-Apliquen los conocimientos,1.3 Los colegios deben enfocarse en que los estudiantes...-Experimenten con lo aprendido,1.3 Los colegios deben enfocarse en que los estudiantes...-X,1.3 Los colegios deben enfocarse en que los estudiantes...-Y,1.3 Los colegios deben enfocarse en que los estudiantes...-NA,"1.4 Vamos a tener que repensar-El plan de estudios, los horarios, las normas y las políticas",1.4 Vamos a tener que repensar-Cómo se invierten y se gestionan los recursos educativos,1.4 Vamos a tener que repensar-La formación y cualificación de los docentes,1.4 Vamos a tener que repensar-X,1.4 Vamos a tener que repensar-Y,1.4 Vamos a tener que repensar-NA,1.5 El cambio será liderado por-Secretarías y Ministerio,1.5 El cambio será liderado por-Docentes y rectores,1.5 El cambio será liderado por-Estudiantes y padres,1.5 El cambio será liderado por-X,1.5 El cambio será liderado por-Y,1.5 El cambio será liderado por-NA,1.6 Papel del docente-Mostarle nuevos mundos y posibilidades a los estudiantes,1.6 Papel del docente-Ayudarle a los estudiantes a alcanzar sus objetivos,1.6 Papel del docente-Dar soporte emocional a los estudiantes,1.6 Papel del docente-X,1.6 Papel del docente-Y,1.6 Papel del docente-NA,2.1 se animará a los estudiantes a aprender-...individualmente / independiente,2.1 se animará a los estudiantes a aprender-...socialmente / en grupo,2.1 se animará a los estudiantes a aprender-X,2.1 se animará a los estudiantes a aprender-NA,2.2 El aprendizaje será...-Liderado por el docente,2.2 El aprendizaje será...-Liderado por el estudiante,2.2 El aprendizaje será...-X,2.2 El aprendizaje será...-NA,"3.1 En general, se verán cambios en las áreas de ... (escoja hasta 2)_La comunidad y las relaciones","3.1 En general, se verán cambios en las áreas de ... (escoja hasta 2)_La filosofía del colegio","3.1 En general, se verán cambios en las áreas de ... (escoja hasta 2)_El aprendizaje y el crecimiento","3.1 En general, se verán cambios en las áreas de ... (escoja hasta 2)_Los problemas como oportunidades","3.1 En general, se verán cambios en las áreas de ... (escoja hasta 2)_Los premios y los reconocimientos","3.1 En general, se verán cambios en las áreas de ... (escoja hasta 2)_autonomía y el soporte","3.1 En general, se verán cambios en las áreas de ... (escoja hasta 2)_El desarrollo en general del estudiante","3.1 En general, se verán cambios en las áreas de ... (escoja hasta 2)_El crecimiento personal y los logros","3.1 En general, se verán cambios en las áreas de ... (escoja hasta 2)_otrro",Other_theme,4.1 I am a...,4.2 Género,4.3 Experience in education,4.4 Experience in institution,4.5 Levels taught_Preescolar,4.5 Levels taught_Básica primaria,4.5 Levels taught_Básica Secundaria,4.5 Levels taught_Media,4.6 Age,4.7 Professional qualifications,City,IE,Describa brevemente qué deben hacer las instituciones educativas y los docentes para prepararse para ofrecer una mejor educación de acuerdo con los retos actuales y futuros. Por favor resuma sus pensamientos en un párrafo corto.,Title,Utopia,Dystopia,ProjectID,ApplicationName,SessionID,Language
db290bf2-de9b-46b4-865c-c21c2d8bfbeb,5,,2020/06/16 18:46:03.973,2020/06/16 18:46:10.351,331.093,3.333.333,33.557.373,0.50224036,0.28866664,,32.835.922,34.615.387,32.548.695,0.4985639,0.29976922,,33.049.595,34.188.034,3.276.237,0.4985639,0.29606837,,3.194.665,34.188.034,3.386.531,0.5095933,0.29606837,,331.093,3.333.333,33.557.373,0.50224036,0.28866664,,32.254.593,35.042.732,3.270.267,0.50224036,0.30347008,,4.926.362,5.073.638,0.5073638,,57.709.564,42.290.436,0.42290434,,1,,,,,1,,,,,Docente,Mujer,De 11 a 20 años,De 3 a 5 años,,1,,,Entre 41 y 50 años,Licenciado,Medellín,IE Bello Oriente,Dos cosas fundamentales:  1. Estar en continua capacitación para adquirir las herramientas necesarias para confrontar los cambios 2. Se debe hacer inversión en recursos tecnológicos y didácticos.,inversión en educación,"Colegios publicos con la inversión del estado pertinente para infraestructura, personal idóneo para la atención de la comunidad (maestros de apoyo y psicólogos), dotación de herramientas tecnológicas adecuada y maestros constantemente capacitados.La visión que las comunidades tienen por el maestro se ha transformado dándole el lugar y el respeto que él y función tiene. Comunidades totalmente comprometidas con la educación, con el futuro de sus hijos y con su colegio.","Colegios sin dotación y sin infraestructura, sin personal de apoyo psicosocial propio, maestros con una profesión subvalorada por las comunidades y por el estado y por Ãºltimo, pero no menos importante, maestros sin capacitación continua, unos por falta de amor y ética por su profesión y otros, por falta de dinero para pagársela. Educación en constante atraso, no muy diferente de como es ahora.",FutureTeacher_Colombia2020,SenseMakerÃ‚ New WebCollector,,,
57f98692-8c77-4237-8e55-f8d40db350c7,6,,2020/06/24 21:22:43.415,2020/06/24 21:22:49.166,35.954.056,29.487.185,3.455.876,0.4930235,0.255359,,31.078.949,3.333.333,3.558.772,0.52254385,0.28866664,,31.700.268,35.042.732,33.256.996,0.50778365,0.30347008,,5.635.833,46.581.196,4.778.297,0.7107357,0.40339315,,4.259.454,45.726.498,11.678.957,0.34542206,0.39599144,,33.506.645,32.905.983,33.587.368,0.5004036,0.2849658,,4.413.698,5.586.302,0.5586302,,52.548.187,47.451.813,0.47451812,,,,1,,,,,1,,,Docente,Hombre,De 11 a 20 años,De 6 a 10 años,,1,,,Entre 31 y 40 años,Magister,Medellín,IE Enrique Olaya Herrera,Capacitación permanente en nuevos aprendizajes y enseñanzas,#maestrodelfuturo,Enseñanza perosnalizada,Mantenerse igual,FutureTeacher_Colombia2020,SenseMakerÃ‚ New WebCollector,,,
80cb5c0d-f0ae-424d-ad53-ac35813c910e,7,,2020/06/19 14:24:44.070,2020/06/19 14:24:58.553,6.583.569,86.752.144,6.664.292,0.5004036,0.75127345,,581.482,34.188.004,9.076.637,0.92475784,0.029606836,,39.887.269,8.547.005,87.464.264,0.91737777,0.07401709,,63.777.895,59.829.025,87.639.305,0.90630764,0.051811963,,4.823.702,9.829.063,8.534.724,0.90261763,0.08511968,,9.016.133,2.991.455,68.472.147,0.083429426,0.025906008,,0.21173954,9.978.826,0.9978826,,0.21173954,9.978.826,0.9978826,,,1,1,,,,,,,,Docente,Mujer,De 11 a 20 años,De 11 a 20 años,,1,,,Entre 41 y 50 años,Magister,Medellín,IE Enrique Olaya Herrera,Cambiar el formato de la educación en su totalidad. Desde sus bases teóricas... Porque lo que hacemos esta desfazado dr toda realidad.,#cambiodelaeducacion,Trabajo en aulas por proyectos personalizados,"Continuamos como hasta ahora. Los niños odian el colegio y su método de, enseñanza",FutureTeacher_Colombia2020,SenseMakerÃ‚ New WebCollector,,,
66dc569f-2d0c-43f6-afb9-df54d2a8cef4,258,,2020/08/11 20:58:17.067,2020/08/11 20:58:23.374,0.024206543,517.094,48.266.396,0.74121094,0.4478034,,38.451.176,22.649.576,3.889.925,0.50224036,0.19614531,,41.477.196,18.803.421,39.719.383,0.49121094,0.1628376,,0.044891298,4.739.331,52.561.802,0.7632698,0.41079488,,33.049.595,34.188.034,3.276.237,0.4985639,0.29606837,,3.506.694,3.162.393,33.309.128,0.49121094,0.27386323,,36.087.944,63.912.056,0.6391206,,517.974,482.026,0.48202598,,1,,,,,1,,,,,Docente,Mujer,Más de 20 años,Más de 20 años,1,,,,Entre 41 y 50 años,Licenciado,Medellín,Colegio de la Compañía de María La Enseñanza,"Teniendo en cuenta el cambio y las tendencias de la sociedad en el futuro, los docentes deben estar capacitados para acompañar en los tiempos de incertidumbre, deberán enfocar el aprendizaje en las habilidades de la vida y para la vida, de tal forma que en los alumnos se desarrolle la capacidad de comprender su entorno y buscar la mejor manera de ser parte Ãºtil en este.",Retos actuales de la educación.,"Una sociedad más resciliente.Nuevas formas de contacto entre familia y escuela, que ayudan a la formación de los niños.Desarrollo de tecnología apoyará muchísimo la educación.",IndividualismoRelaciones más distantes y frías entre las personas.,FutureTeacher_Colombia2020,SenseMakerÃ‚ New WebCollector,,,
99ae6252-9efc-4563-aff2-f2b2d1de2b7b,187,,2020/07/22 17:07:03.762,2020/07/22 17:07:18.669,24.828.272,38.461.536,36.710.197,0.5594096,0.3330769,,33.510.105,32.905.983,33.583.908,0.500369,0.2849658,,33.296.436,3.333.333,33.370.235,0.500369,0.28866664,,42.250.294,26.495.728,31.253.983,0.44501847,0.22945298,,3.366.544,3.333.333,3.300.123,0.49667898,0.28866664,,4.209.496,26.068.375,31.836.662,0.4487085,0.2257521,,45.280.613,54.719.387,0.5471939,,3.385.204,6.614.796,0.6614796,,1,,,,,,,1,,,Docente,Mujer,De 11 a 20 años,De 3 a 5 años,,1,,,Entre 41 y 50 años,Licenciado,Medellín,IE Lusitania Paz de Colombia,"Implementar las metodologías como ABP, que permite que los estudiantes y docentes aportamos en el aprendizaje, el trabajo en grupo, que nos permite ir mejorando en todos los aspectos.Cambiar planes de estudio que permita ir con los aprendizajes que en la actualidad se van presentando.Los docentes continuar capacitándose en nuevas tecnologías para ir con el avance actual.",Apertura al cambio,"Ya no se hablará de estudiantes-docentes, sino un término que abarque un solo individuo, ya que la educación será más participativa por todos. No será tan tradicional. Todo será más investigativo, uso de las tecnologías.","Tanto uso de tecnología, hará que nos enfermemos más, todo será a distancia y serán tan tan independientes que no habrá ese aprendizaje social.",FutureTeacher_Colombia2020,SenseMakerÃ‚ New WebCollector,,,
514b272d-1cda-4a30-9dc5-3d2f90e73757,9,,2020/06/19 16:55:28.877,2020/06/19 16:56:03.594,0.47668946,9.786.325,16.600.586,0.50591683,0.8474957,,0.8097754,95.726.494,34.637.306,0.5132698,0.8289915,,72.043.166,9.102.564,17.700.391,0.4728286,0.78828204,,26.637.256,87.606.834,9.729.438,0.53532857,0.7586752,,25.883.057,965.812,0.8304931,0.49121094,0.8363932,,0.8443359,9.786.325,1.292.412,0.50224036,0.8474957,,0.6149709,9.938.503,0.9938503,,17.974.019,982.026,0.982026,,1,1,,,,,,,,,Docente,Mujer,Más de 20 años,De 11 a 20 años,,1,,,Entre 51 y 60 años,Licenciado,Medellín,IE Álvaro Marín Velasco,Innovar la Educación fortaleciendo la parte humana y tecnológica.,REPENSAR LA EDUCACIÓN,No tener acceso a la educación,"Economía estable, educación mejorada.",FutureTeacher_Colombia2020,SenseMakerÃ‚ New WebCollector,,,
8c941e49-9134-460c-a56d-4e1abd0036c2,208,,2020/07/24 14:54:24.758,2020/07/24 14:54:32.789,20.415.552,49.145.298,48.813.145,0.733858,0.4255983,,4.781.832,1.709.404,5.047.228,0.5132698,0.014803418,,3.369.062,32.905.983,33.403.393,0.4985639,0.2849658,,3.119.353,52.136.757,44.743.896,0.70812273,0.4515043,,33.169,3.247.863,34.352.367,0.50591683,0.28126493,,13.237.503,7.307.692,13.685.578,0.50224036,0.6328461,,28.148.752,7.185.125,0.7185125,,46.392,53.608,0.53608,,,,,1,,,1,,,,Docente,Mujer,De 11 a 20 años,De 6 a 10 años,,1,,,Entre 31 y 40 años,Licenciado,Medellín,IE Nicanor Restrepo Santa María,"Debemos tener un conocimiento claro de los desafíos y tomar decisiones sobre cuál abordar con más empeño, siempre pensando en el bienestar de los estudiantes y sus familias.",El conocimiento influye en mejores decisiones,"Todas las instituciones del país con espacios adecuados para la interacción entre el saber, el estudiante y el docente donde haya posibilidad para acceder a la tecnología y la experimentación del nuevo saber.Un estudiante con toda la disposición  para aprender tanto de sus aciertos como de sus fracasos y de compartir con sus pares todo este conocimiento para llegar a un producto construido en equipo.","Encontrar unas instituciones sin cambios, sin recursos económicos y de infraestructura, además con pocos estudiantes que tengan la posibilidad de seguir soñando en un mejor futuro.",FutureTeacher_Colombia2020,SenseMakerÃ‚ New WebCollector,,,
54af28ef-fc4d-473a-a77c-217143f4265c,142,,2020/06/26 22:47:18.570,2020/06/26 22:47:22.870,1.655.055,3.888.889,59.456.062,0.78900504,0.33677778,,0.10905274,47.863.243,52.027.702,0.7595933,0.4144957,,55.658.318,0.0,44.341.682,0.44341683,0.0,,38.106.542,448.718,5.131.755,0.73753446,0.38858974,,33.417.236,34.188.034,32.394.726,0.4948874,0.29606837,,3.277.621,35.470.085,317.537,0.4948874,0.30717096,,4.740.551,5.259.449,0.5259449,,7.477.038,25.229.624,0.25229624,,,,1,,,,,1,,,Docente,Mujer,Más de 20 años,De 11 a 20 años,,,1,,Entre 51 y 60 años,Especialista,Medellín,IE Enrique Olaya Herrera,"Los docentes deben prepararse en psicología, en el manejo de las herramientas virtuales, las competencias virtuales y en enseñanza por proyectos. De igual forma los rectores deben prepararse en gestión del Talento Humano, administración organizacional y relaciones pÃºblicas.",GESTIÓN DEL TALENTO HUMANO PARA LA  CALIDAD DE LA EDUCACIÓN,El ideal sería estudiantes aprendiendo de forma diferente,,,,,,
58513ad8-190f-493c-b03a-ff2f4bd98cb2,230,,2020/07/29 01:58:17.245,2020/07/29 01:58:28.017,0.007095642,47.008.514,9.529.205,0.97642475,0.040709373,,60.388.865,89.316.246,4.644.873,0.49302995,0.7734786,,4.927.461,47.863.243,28.621.483,0.2679377,0.4144957,,33.241.894,45.299.152,5.137.666,0.7402624,0.39229062,,18.868.018,47.435.898,506.773,0.74395245,0.41079488,,0.016753418,4.015.946,59.823.788,0.799303,0.34789747,,31.504.845,68.495.155,0.68495154,,50.146.843,49.853.157,0.49853158,,,,,,,,1,1,,,Docente,Mujer,Más de 20 años,De 11 a 20 años,,1,,,Entre 51 y 60 años,Especialista,Medellín,IE Nicanor Restrepo Santa María,"El docente debe ir a la par con los cambios que se van presentando en el mundo global si abandonar el concepto de persona, ya que por muchos avances tecnológicos que se presenten, lo mas importante que se tiene al lado de las maquinas son  seres que esperan que se les mires y se les de una aprobación y quien mas que el docente para hacerlo con su sabiduría y acercamiento   sutil.",metodologías  bapne,"Educación presencial apoyada de los avances tecnológicos sin olvidar las habilidades personales como hablar, compartir, relacionarse, apoyarse",cree que solo la tecnologia puede hacer milagros de buenas practicas educativas sin tener en cuenta como obra nuestro cerebro,FutureTeacher_Colombia2020,SenseMakerÃ‚ New WebCollector,,,
5a4e6ffb-e68a-4638-9f34-4cebf25e1612,10,,2020/06/24 18:07:14.836,2020/06/24 18:07:37.201,67.002.683,8.504.273,8.256.997,0.50778365,0.73647004,,854.999,64.102.554,8.089.844,0.11294972,0.05551284,,8.358.423,94.017.105,8.223.987,0.8694073,0.0814188,,8.630.445,8.119.659,8.324.989,0.8730973,0.07031626,,8.902.466,6.837.609,8.425.992,0.87678736,0.05921367,,7.503.727,11.111.108,8.138.517,0.8694073,0.096222214,,16.304.374,9.836.956,0.9836956,,7.065.219,92.934.784,0.9293478,,1,,,,,,,1,,,Docente,Hombre,De 11 a 20 años,De 11 a 20 años,,1,,,Entre 41 y 50 años,Magister,Medellín,IE Enrique Olaya Herrera,Debemos repensar una sociedad que se forme en valores y donde la humanizacion sea uno de sus fundamentos o principios.,Emotividad y humanizacion,Personas capaces de estar en armonia con la naturaleza y la razón misma de la existencia humana.,Seres incapaces de reconocerse a sí mismo como parte deLo universo...La inmortalidad y la trascendendencia misma de la vida.,FutureTeacher_Colombia2020,SenseMakerÃ‚ New WebCollector,,,
