start,end,today,Consentimiento Informado,FECHA DE DILIGENCIAMIENTO,Departamento,informacion,CENTRO_EDUCATIVO,texto,hashtag,genera,frecuencia,relaciona_historia,La apropiación y uso de herramientas tecnológicas ,La forma como están organizadas las rutinas diarias,La vinculación de las familias a las propuestas del centro infantil,Los momentos de alimentación de las niñas y los niños,El desempeño de los agentes educativos y sus prácticas,La disposición intencionada de los espacios y ambientes,La calidad de las interacciones entre los actores,El acompañamiento a las transiciones de las niñas y los niños,La documentación de las experiencias realizadas en el centro infantil,El trabajo colaborativo entre los agentes educativos ,acto_principal,Otro,sentiste,habilidades,Habilidades artística,Habilidades comunicativas,Habilidades socioemocionales,Habilidades manuales,Habilidades socio-ambientales,Ninguna de las anteriores,competencias,Trabajo Colaborativo,Comunicación,Pensamiento Crítico,Resolución de problemas,Manejo de herramientas tecnológicas,Manejo de la información,Creatividad e Innovación,Vida y Carrera,rol,_id,_uuid,_submission_time,_validation_status,_index
2020-07-06T09:22:05.306-05:00,2020-07-06T09:33:26.170-05:00,2020-07-05,Sí,2020-07-06,Chocó,,Cabi,"Había una vez  se llamó a la familia Pérez cardona para informarles que pronto regresaríamos a los encuentros en el aula., pero eelos manifiestan no acudir por temor a la cuarentena, entonces decidimos esperar el tiempo prudente para ingresar.",Renorto  a las  aulas,Tristeza,Única vez,La calidad de las interacciones entre los actores.,0,0,0,0,0,0,1,0,0,0,Familias y otras personas significativas,,Me dio curiosidad e inventé la historia,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.",0,1,0,0,0,0,Trabajo Colaborativo.,1,0,0,0,0,0,0,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,109187955,0c581106-5a7b-49cb-8fdd-7cc3b66ae311,2020-07-06T14:33:26,,1
2020-07-06T09:23:44.842-05:00,2020-07-06T09:35:50.959-05:00,2020-07-05,Sí,2020-07-06,Chocó,,Cabi,"Hoy quiero contarles que en estos momentos de mi vida estoy viviendo una situación positiva y negativa a la vez con las familias, positiva porque me hace muy feliz llamar a los padres y poder escuchar a los niños, saber cómo están, conocer sus estados de animos, guiarlos en su proceso de aprendizaje, pero negativa y triste porque algunas familias no le están dando la importancia que requiere todo este proceso, no comprenden que no estamos en vacaciones y que se debe continuar fortaleciendo los procesos de los niños, la verdad me tiene muy triste por mis infantes.",Las Familias,Tristeza,De vez en cuando,La vinculación de las familias a las propuestas del centro infantil.,0,0,1,0,0,0,0,0,0,0,Familias y otras personas significativas,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.",0,1,0,0,0,0,Trabajo Colaborativo.,1,0,0,0,0,0,0,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,109189254,660ff324-0848-4638-aa9f-36e925f12d2e,2020-07-06T14:37:03,,2
2020-07-06T09:21:55.528-05:00,2020-07-06T09:37:30.655-05:00,2020-07-05,Sí,2020-07-06,Chocó,,Cabi,"El primer día que estuve de regreso en aeiotü fue algo bastante aterrador pues venia de una modalidad diferente a una desconocida en ciertos puentes que aunque es una solo tienen dos modalidades se convirtió en un reto diario el tener que aprender a manejar los formatos y llevar preciosos de manera general y no individual como solía hacerlo en la anterior modalidad,  pero gracias a Dios me encontré con personas colaboradoras desde la coordinadora asta la compañera de aula y una que otra de otros espacios y cambie la opinión que tenia acerca de varios compañeros de trabajo que me habían descrito de otras formas y hoy por hoy me siento bien a pasear de la pandemia",El regreso,Orgullo,De vez en cuando,La apropiación y uso de herramientas tecnológicas. La forma como están organizadas las rutinas diarias. La vinculación de las familias a las propuestas del centro infantil. Los momentos de alimentación de las niñas y los niños. El desempeño de los agentes educativos y sus prácticas. La disposición intencionada de los espacios y ambientes. La calidad de las interacciones entre los actores. El acompañamiento a las transiciones de las niñas y los niños. El trabajo colaborativo entre los agentes educativos.,1,1,1,1,1,1,1,1,0,1,Agentes educativos,,Fui muy honesto y conté lo que me pasó,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar. Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",1,1,1,0,0,0,Trabajo Colaborativo. Pensamiento Crítico. Resolución de problemas. Manejo de herramientas tecnológicas. Manejo de la Información y Comunicación. Creatividad e Innovación.,1,0,1,1,1,1,1,0,"Fortalecerme como agente educativo para alcanzar mis proyectos personales, familiares y profesionales.",109189389,79ef6a93-03c6-4901-bada-89b2330336da,2020-07-06T14:37:31,,3
2020-07-06T09:35:29.564-05:00,2020-07-06T09:38:55.567-05:00,2020-07-05,Sí,2020-07-06,Chocó,,Cabi,El niño que le gusta comer,#el niño,Alegría,Todo el tiempo,Los momentos de alimentación de las niñas y los niños. El desempeño de los agentes educativos y sus prácticas. La disposición intencionada de los espacios y ambientes. El acompañamiento a las transiciones de las niñas y los niños.,0,0,0,1,1,1,0,1,0,0,Niños/niñas,,Me dio curiosidad e inventé la historia,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,1,1,0,0,0,Creatividad e Innovación.,0,0,0,0,0,0,1,0,Potenciar el desarrollo de los niños y las niñas.,109189685,0f3a47e2-36cb-40a6-ab4b-09e8aac2638e,2020-07-06T14:38:56,,4
2020-07-06T09:26:54.929-05:00,2020-07-06T09:39:39.706-05:00,2020-07-05,Sí,2020-07-06,Chocó,,Cabi,"Era una vez en un barrio de Quibdó, muy alejado de la ciudad urbana, un día sucedió que una niña de pronto se perdió de su hogar pasaban las horas pero nada que la encontraban a las 24 horas informaron a la policía y estos inincaron la búsqueda sin para por el barrios y sus alrededores pasó un día dos días y la gente desesperada y sin tener noticia de aquella pequeña, pero al tercer día la encontraron flotando en un río, fue una mala noticia la cual la gente no podría creer desde ese entonces las familias decidieron estar más pendiente de sus hijos y no confiar en nadie, colorin colorado esta historia a finalizado.",Inocente vida,Tristeza,Todo el tiempo,La vinculación de las familias a las propuestas del centro infantil.,0,0,1,0,0,0,0,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.",0,0,0,0,1,0,Vida y Carrera.,0,0,0,0,0,0,0,1,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,109189934,5352dd75-00df-4896-8138-49d729df0790,2020-07-06T14:39:42,,5
2020-07-06T09:26:54.929-05:00,2020-07-06T09:39:48.291-05:00,2020-07-05,Sí,2020-07-06,Chocó,,Cabi,"Era una vez en un barrio de Quibdó, muy alejado de la ciudad urbana, un día sucedió que una niña de pronto se perdió de su hogar pasaban las horas pero nada que la encontraban a las 24 horas informaron a la policía y estos inincaron la búsqueda sin para por el barrios y sus alrededores pasó un día dos días y la gente desesperada y sin tener noticia de aquella pequeña, pero al tercer día la encontraron flotando en un río, fue una mala noticia la cual la gente no podría creer desde ese entonces las familias decidieron estar más pendiente de sus hijos y no confiar en nadie, colorin colorado esta historia a finalizado.",Inocente vida,Tristeza,Todo el tiempo,La vinculación de las familias a las propuestas del centro infantil.,0,0,1,0,0,0,0,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.",0,0,0,0,1,0,Vida y Carrera.,0,0,0,0,0,0,0,1,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,109189968,5352dd75-00df-4896-8138-49d729df0790,2020-07-06T14:39:50,,6
2020-07-06T09:35:29.564-05:00,2020-07-06T09:40:06.270-05:00,2020-07-05,Sí,2020-07-06,Chocó,,Cabi,El niño que le gusta comer,#el niño,Alegría,Todo el tiempo,Los momentos de alimentación de las niñas y los niños. El desempeño de los agentes educativos y sus prácticas. La disposición intencionada de los espacios y ambientes. El acompañamiento a las transiciones de las niñas y los niños.,0,0,0,1,1,1,0,1,0,0,Niños/niñas,,Me dio curiosidad e inventé la historia,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,1,1,0,0,0,Creatividad e Innovación.,0,0,0,0,0,0,1,0,Potenciar el desarrollo de los niños y las niñas.,109190041,0f3a47e2-36cb-40a6-ab4b-09e8aac2638e,2020-07-06T14:40:07,,7
2020-07-06T09:25:42.136-05:00,2020-07-06T09:40:28.662-05:00,2020-07-05,Sí,2020-07-06,Chocó,,Cabi,"para mi es mu gratificante contar la historia de uno de mis niños, el cual no caminaba por si solo a la edad de 2 años, fue un proceso arduo pero lo logramos gracaias a las diferentes dinamicas , estrategias  que se realizaron con la familia , equipo de apoyo y maestra",el niño fantastico,Motivación,Todo el tiempo,La vinculación de las familias a las propuestas del centro infantil. El desempeño de los agentes educativos y sus prácticas. El trabajo colaborativo entre los agentes educativos.,0,0,1,0,1,0,0,0,0,1,Niños/niñas,comunidad,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Trabajo Colaborativo. Creatividad e Innovación.,1,0,0,0,0,0,1,0,Potenciar el desarrollo de los niños y las niñas.,109190132,9d782d6a-22e2-4c41-ab49-65ce2e495bc7,2020-07-06T14:40:28,,8
2020-07-06T09:35:07.319-05:00,2020-07-06T09:40:16.334-05:00,2020-07-05,Sí,2020-07-06,Chocó,,Cabi,"El primer día en el centro aeiotu tuve mucha afinidad con un niño que se llama mateo ya que el me decía  que parecía a su madre, ese mismo día fue el  primer día de clases en el kinder de mí hijo y me daba pesar decirle a las mamá que se fueran x q me sentía identificada me acuerdo de ese día y ya me causa muchas gracia",De maestra a mamá,Tranquilidad,Todo el tiempo,La forma como están organizadas las rutinas diarias. La vinculación de las familias a las propuestas del centro infantil. El desempeño de los agentes educativos y sus prácticas. El acompañamiento a las transiciones de las niñas y los niños.,0,1,1,0,1,0,0,1,0,0,Niños/niñas,,Reflexioné y aprendí algo nuevo,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,1,1,0,0,0,Trabajo Colaborativo. Resolución de problemas. Vida y Carrera.,1,0,0,1,0,0,0,1,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,109190138,7e69978f-a9e6-497c-8bc8-daddd4a9be74,2020-07-06T14:40:30,,9
2020-07-06T09:23:26.610-05:00,2020-07-06T09:40:55.636-05:00,2020-07-05,Sí,2020-07-06,Chocó,,Cabi,Un viernes cultural Fuy tas feliz ya que llevamos un grupo de chirimía y todos en El centro bailamos y disfrutamos esa experiencia fue tan significativa q nos permitiò compartir juntos de manera divertida y dejar a tras todos los aspectos negativos,Mi mejor viernes cultural,Alegría,De vez en cuando,La vinculación de las familias a las propuestas del centro infantil.,0,0,1,0,0,0,0,0,0,0,Familias y otras personas significativas,,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Trabajo Colaborativo. Creatividad e Innovación.,1,0,0,0,0,0,1,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,109190248,42f8e98e-5a95-4e52-9d86-3dce869a4cf1,2020-07-06T14:40:58,,10
