start,end,today,Consentimiento Informado,FECHA DE DILIGENCIAMIENTO,Departamento,informacion,CENTRO_EDUCATIVO,texto,hashtag,genera,frecuencia,relaciona_historia,La apropiación y uso de herramientas tecnológicas ,La forma como están organizadas las rutinas diarias,La vinculación de las familias a las propuestas del centro infantil,Los momentos de alimentación de las niñas y los niños,El desempeño de los agentes educativos y sus prácticas,La disposición intencionada de los espacios y ambientes,La calidad de las interacciones entre los actores,El acompañamiento a las transiciones de las niñas y los niños,La documentación de las experiencias realizadas en el centro infantil,El trabajo colaborativo entre los agentes educativos ,acto_principal,Otro,sentiste,habilidades,Habilidades artística,Habilidades comunicativas,Habilidades socioemocionales,Habilidades manuales,Habilidades socio-ambientales,Ninguna de las anteriores,competencias,Trabajo Colaborativo,Comunicación,Pensamiento Crítico,Resolución de problemas,Manejo de herramientas tecnológicas,Manejo de la información,Creatividad e Innovación,Vida y Carrera,rol,CONSENTIMIENTO,_id,_uuid,_submission_time,_validation_status,_index
2020-06-18T14:36:45.713-05:00,2020-06-18T14:57:56.276-05:00,2020-06-17,Sí,2020-06-18,Antioquia,,cdi dulce despertar,"una de las experiencias mas significativas para mi , es realizar trabajo con niños con necesidades educativas especiales , nunca habia tenido la experiencia , ,me daba mucho susto, un dia DIOS, Puso en mi camino estos niños, fue muy significativo debido a que logre ayudarlos, se vieron avances en los procesos, habia una coneccion entre niño y docente,",#nee#amoloquehago,Orgullo,De vez en cuando,La vinculación de las familias a las propuestas del centro infantil. La documentación de las experiencias realizadas en el centro infantil.,0,0,1,0,0,0,0,0,1,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación. Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.",0,0,1,0,1,0,Trabajo Colaborativo. Resolución de problemas. Manejo de la Información y Comunicación. Creatividad e Innovación.,1,0,0,1,0,1,1,0,Potenciar el desarrollo de los niños y las niñas.,,105340394,a54ec097-07a6-4533-95a9-3a68bcea7470,2020-06-18T19:57:57,,1
2020-06-18T14:48:37.068-05:00,2020-06-18T14:56:03.669-05:00,2020-06-17,Sí,2020-06-18,Antioquia,,CENTRO INFANTIL PAN AURES,"Durante la contingencia me he dado cuenta de la situación económicas de muchas de las familias con las que trabajamos, a veces nos dejamos llevar por la apariencias y juzgamos algunos acciones o comportamientos de los padres o adultos que acompañan a los niños, cuando las familias envían las evidencias veo que algunas que yo no me imaginaba viven en lugares, donde para mi las condiciones de habitabilidad no son las mejores para los niños y niñas, sin embargo ellos se ven felices en todo momento",#noteimaginas,Impotencia ,De vez en cuando,La disposición intencionada de los espacios y ambientes.,0,0,0,0,0,1,0,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación. Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.",0,0,1,0,1,0,Trabajo Colaborativo. Resolución de problemas. Creatividad e Innovación.,1,0,0,1,0,0,1,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,,105340180,85a75a63-9261-4212-8780-10d367dd239d,2020-06-18T19:56:04,,2
2020-06-18T14:43:57.350-05:00,2020-06-18T14:55:53.746-05:00,2020-06-17,Sí,2020-06-18,Bogotá,,Bellavista Cafam IED,"Me moviliza mucho las historias de vida de los N.N.A sobre todo con esta situacion de Pandemia donde ni siquiera las necesidades basicas no estan resueltas, me permite valorar las cosas que tengo el bienestar de mi familia y los mios.",#RESIGNIFICANDO-ANDO,Motivación,De vez en cuando,La forma como están organizadas las rutinas diarias.,0,1,0,0,0,0,0,0,0,0,Familias y otras personas significativas,COMUNIDAD EDUCATIVA,Reflexioné y aprendí algo nuevo,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Trabajo Colaborativo. Pensamiento Crítico. Resolución de problemas. Manejo de la Información y Comunicación. Vida y Carrera.,1,0,1,1,0,1,0,1,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,,105340110,58d66ba4-d5ad-4949-93b6-58fb6f19c544,2020-06-18T19:55:37,,3
2020-06-18T14:50:16.188-05:00,2020-06-18T14:55:10.284-05:00,2020-06-17,Sí,2020-06-18,Antioquia,,CDI Reflejo de luna,Tener más contacto con las familias,Reviviendo mi historia,Motivación,Todo el tiempo,La vinculación de las familias a las propuestas del centro infantil. El acompañamiento a las transiciones de las niñas y los niños.,0,0,1,0,0,0,0,1,0,0,Familias y otras personas significativas,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.",0,1,0,0,0,0,Manejo de la Información y Comunicación.,0,0,0,0,0,1,0,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,,105340058,db5957eb-ad86-468f-a936-800320a27c66,2020-06-18T19:55:04,,4
2020-06-18T14:54:18.225-05:00,2020-06-18T15:02:06.484-05:00,2020-06-17,Sí,2020-06-18,Antioquia,,Centro Infantil Araguaney,"El día de mi cumpleaños, todos mis niños y niñas haciendo una fiesta sorpresa en la sala de aprendizaje, ellos mismos cantando y con dulces envueltos en papeles de colores.",#cumpleañossorpresa,Alegría,Única vez,La forma como están organizadas las rutinas diarias. La vinculación de las familias a las propuestas del centro infantil. La calidad de las interacciones entre los actores. El acompañamiento a las transiciones de las niñas y los niños.,0,1,1,0,0,0,1,1,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar. Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",1,1,1,0,0,0,Trabajo Colaborativo. Resolución de problemas. Creatividad e Innovación. Vida y Carrera.,1,0,0,1,0,0,1,1,Potenciar el desarrollo de los niños y las niñas.,,105339947,0988a29a-01a9-42ac-bfe5-bebd886c06a3,2020-06-18T19:54:04,,5
2020-06-18T14:47:11.786-05:00,2020-06-18T14:53:00.793-05:00,2020-06-17,Sí,2020-06-18,Antioquia,,CDI Dulce despertar,A raíz de la pandemia me parece muy positivo la comunicación que se estableció con las familias porque las conocemos más y se fortaleció el vínculo.,#vínculo,Alegría,Todo el tiempo,El trabajo colaborativo entre los agentes educativos.,0,0,0,0,0,0,0,0,0,1,Familias y otras personas significativas,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.",0,1,0,0,0,0,Trabajo Colaborativo. Resolución de problemas. Manejo de herramientas tecnológicas.,1,0,0,1,1,0,0,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,,105339859,956c5a6e-862c-441a-be0e-db5e1c6f208f,2020-06-18T19:53:02,,6
2020-06-18T14:46:10.684-05:00,2020-06-18T14:52:55.363-05:00,2020-06-17,Sí,2020-06-18,Antioquia,,Corporación latina centro infantil santo Domingo,Como no es nuevo para nadie por la situación que estamos pasando por el covid 19 ha sido un gran proceso de aprendizajes tanto para mi como para los niños y niñas y las familias. Todo lo que se hace di a día es con todo el amor para fortalecer esos vínculos familiares y seguir brindándole a los niños y niñas unas buenas bases par su desarrollo,# cambiosdeaventuras,Motivación,Única vez,La apropiación y uso de herramientas tecnológicas. La vinculación de las familias a las propuestas del centro infantil. Los momentos de alimentación de las niñas y los niños. El desempeño de los agentes educativos y sus prácticas. La disposición intencionada de los espacios y ambientes. El acompañamiento a las transiciones de las niñas y los niños. El trabajo colaborativo entre los agentes educativos.,1,0,1,1,1,1,0,1,0,1,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar. Habilidades manuales: tejer, sembrar, cocinar. Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.",1,0,0,1,1,0,Trabajo Colaborativo. Resolución de problemas. Creatividad e Innovación.,1,0,0,1,0,0,1,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,,105339855,41b36d25-681f-416d-8875-11705340cff3,2020-06-18T19:52:58,,7
2020-06-18T14:47:28.726-05:00,2020-06-18T14:52:46.682-05:00,2020-06-17,Sí,2020-06-18,Antioquia,,Fundación las Golondrinas - CDI Don Bosco,"familia presentaba fuertes discusiones e inconvenientes con sus vecinos, el niño observaba todo y cambio su conducta, con las orientaciones brindadas se ha aportado y han efectuado cambios positivos en los vinculos y convivencia familiar",#soytureflejo,Motivación,Todo el tiempo,La calidad de las interacciones entre los actores.,0,0,0,0,0,0,1,0,0,0,Familias y otras personas significativas,,Reflexioné y aprendí algo nuevo,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación. Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.",0,0,1,0,1,0,Trabajo Colaborativo. Resolución de problemas. Manejo de la Información y Comunicación.,1,0,0,1,0,1,0,0,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,,105339846,91ba4af4-97f1-42b8-ace8-9f9821165d30,2020-06-18T19:52:47,,8
2020-06-18T14:46:35.401-05:00,2020-06-18T14:52:35.195-05:00,2020-06-17,Sí,2020-06-18,Antioquia,,CI DIAMANTE,"ES MUY GRATIFICANTE COMO COORDINADORA PEDAGOGICA APORTAR DIARIAMENTE AL PROCESO PEDAGOGICO DE LOS NIÑOS, AL CRECIMIENTO DE LAS AGENTES EDUCATIVAS Y LA RESOLUCION DE PROBLEMAS A NIVEL DE FAMILIA",MI DIARIO,Motivación,Todo el tiempo,La apropiación y uso de herramientas tecnológicas. La forma como están organizadas las rutinas diarias. La vinculación de las familias a las propuestas del centro infantil. Los momentos de alimentación de las niñas y los niños. El desempeño de los agentes educativos y sus prácticas. La disposición intencionada de los espacios y ambientes. La calidad de las interacciones entre los actores. El acompañamiento a las transiciones de las niñas y los niños. La documentación de las experiencias realizadas en el centro infantil. El trabajo colaborativo entre los agentes educativos.,1,1,1,1,1,1,1,1,1,1,Niños/niñas,AGENTES EDUCATIVAS Y FAMILIAS,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,1,1,0,0,0,Trabajo Colaborativo. Sostenibilidad. Pensamiento Crítico. Resolución de problemas. Manejo de herramientas tecnológicas. Manejo de la Información y Comunicación. Creatividad e Innovación. Vida y Carrera.,1,1,1,1,1,1,1,1,Dar cumplimiento a los criterios de calidad de la educación inicial en el marco de la atención integral.,,105339831,23d7aa8f-9fb5-4909-9f5f-ff22a653b2f6,2020-06-18T19:52:36,,9
2020-06-18T14:47:28.901-05:00,2020-06-18T14:52:22.830-05:00,2020-06-17,Sí,2020-06-18,Bogotá,,1019066322,"En el transcurso de este año puede tener cercanía con uno de nuestros Niños el gual presenta un DX neuronal, pero al ver su actitud y compromiso de la madre pude entender que las limitaciones estarán en nuestra mente más no en el corazón y el que quiere puede para superar de la mano de su familia",#somosinvluyentesporquenosamamos,Motivación,Todo el tiempo,La vinculación de las familias a las propuestas del centro infantil.,0,0,1,0,0,0,0,0,0,0,Familias y otras personas significativas,,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Manejo de la Información y Comunicación.,0,0,0,0,0,1,0,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,,105339822,3516e430-dab5-448a-9820-10d000fbdd3f,2020-06-18T19:52:23,,10
