start,end,today,Consentimiento Informado,FECHA DE DILIGENCIAMIENTO,Departamento,informacion,CENTRO_EDUCATIVO,texto,hashtag,genera,frecuencia,relaciona_historia,La apropiación y uso de herramientas tecnológicas ,La forma como están organizadas las rutinas diarias,La vinculación de las familias a las propuestas del centro infantil,Los momentos de alimentación de las niñas y los niños,El desempeño de los agentes educativos y sus prácticas,La disposición intencionada de los espacios y ambientes,La calidad de las interacciones entre los actores,El acompañamiento a las transiciones de las niñas y los niños,La documentación de las experiencias realizadas en el centro infantil,El trabajo colaborativo entre los agentes educativos ,acto_principal,Otro,sentiste,habilidades,Habilidades artística,Habilidades comunicativas,Habilidades socioemocionales,Habilidades manuales,Habilidades socio-ambientales,Ninguna de las anteriores,competencias,Trabajo Colaborativo,Comunicación,Pensamiento Crítico,Resolución de problemas,Manejo de herramientas tecnológicas,Manejo de la información,Creatividad e Innovación,Vida y Carrera,rol,_id,_uuid,_submission_time,_validation_status,_index
2020-06-18T08:37:36.911-05:00,2020-06-18T08:47:41.932-05:00,2020-06-17,Sí,2020-06-18,Valle del Cauca,,CDI Expresión de Amor,Narrativa de prueba,Mi amor,Alegría,Todo el tiempo,El acompañamiento a las transiciones de las niñas y los niños. La documentación de las experiencias realizadas en el centro infantil. El trabajo colaborativo entre los agentes educativos.,0,0,0,0,0,0,0,1,1,1,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,1,1,0,0,0,Vida y Carrera.,0,0,0,0,0,0,0,1,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,105274927,b35470ee-94dc-43c7-b9b6-e3ceccfa87b0,2020-06-18T13:47:43,,6
2020-06-19T14:18:32.810-05:00,2020-06-19T14:26:03.804-05:00,2020-06-18,Sí,2020-06-19,Valle del Cauca,,CDI Expresión de Amor,"En mis prácticas como docente empecé en una escuela de mi pueblo donde apoyé una profesora quebpadecia cáncer la cual fue fundamental para mi procesó ya que me apoyo y me guió en cada decicion o clase que planteaba, además tuve la oportunidad de compartir con algunos niños los cuales presentaban diversidad y eso fue muy enriquecedor ya que me dejo investigar más a fondo para ayudar a esos niños a estudiar y desarrollar sus habilidades al mismo nivel que los otros niños y niñas.",La educación es una belleza inesperada,Orgullo,Única vez,La apropiación y uso de herramientas tecnológicas. La disposición intencionada de los espacios y ambientes. El trabajo colaborativo entre los agentes educativos.,1,0,0,0,0,1,0,0,0,1,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar. Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación. Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.",1,1,1,0,1,0,Trabajo Colaborativo. Manejo de herramientas tecnológicas. Manejo de la Información y Comunicación. Creatividad e Innovación.,1,0,0,0,1,1,1,0,Potenciar el desarrollo de los niños y las niñas.,105522582,c53344aa-4d36-46bf-a425-b0aa51b255b2,2020-06-19T19:26:06,,7
2020-06-19T14:19:52.035-05:00,2020-06-19T14:27:46.537-05:00,2020-06-18,Sí,2020-06-19,Valle del Cauca,,CDI Expresión de Amor,"Para mi ha sido un reto trabajar con bienestar familiar porque mis anteriores trabajos fueron en jardines privados, fue un reto pero aprendí muchas cosas nuevas y significativas para mi.",#algonuevoperohermoso,Motivación,De vez en cuando,El acompañamiento a las transiciones de las niñas y los niños.,0,0,0,0,0,0,0,1,0,0,Otro,"Pienso que otra porque, al principio se me hizo complejo aprender mucho formatos y cosas que no sabía",Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Trabajo Colaborativo. Sostenibilidad. Resolución de problemas. Manejo de la Información y Comunicación.,1,1,0,1,0,1,0,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,105522713,e0920c01-1774-4d14-a9ef-231167eacb7e,2020-06-19T19:27:48,,8
2020-06-19T14:24:57.414-05:00,2020-06-19T14:31:32.206-05:00,2020-06-18,Sí,2020-06-19,Valle del Cauca,,H.I Las Palmeras,"Es demasiado importante, valioso y gratificante, el amor que los nenes me manifiestan o expresan por medio virtual, el recordarme ya que fue muy pocos nuestros encuentros en el Hogar Infantil, y ver que ellos me recuerdan y me dicen que quieren regresar a jugar con la profe, me hace sentir felicidad pues puedo autoevaluarme y pensar que estoy haciendo las cosas bien y que puedo mejorar mucho más. Pará que siempre me recuerden como yo aun tengo recuerdos de algunos profesores de mi infancia.",#Con amor todo es Posible,Motivación,Única vez,El desempeño de los agentes educativos y sus prácticas.,0,0,0,0,1,0,0,0,0,0,Niños/niñas,,Reflexioné y aprendí algo nuevo,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar.",1,0,0,0,0,0,Trabajo Colaborativo. Manejo de herramientas tecnológicas. Creatividad e Innovación.,1,0,0,0,1,0,1,0,Potenciar el desarrollo de los niños y las niñas.,105523049,ecbe7496-67b6-4e64-93fc-92fd0da75d3d,2020-06-19T19:31:32,,9
2020-06-19T14:19:08.863-05:00,2020-06-19T14:33:10.571-05:00,2020-06-18,Sí,2020-06-19,Valle del Cauca,,HI las Palmeras,Durante el período de aislamiento preventivo tuve la oportunidad de que una madre de familia me contará una situación muy personal sobre la relación que el padre biológico tiene con el niño y con ella. En la cual me manifiesta que el señor la llama amenazándola con la custodia del niño y diciéndole palabras grotescas . El niño pregunta constantemente si el padre lo quiere? Porque no lo visita ? Y también expresa que le gustaría volver pronto al jardín ya que ahí se siente bien con sus amigos y su profe. Además de esto la madre me comunica que en las ocasiones que ella a tenido contacto con el señor el intenta persuadirlos para que mantenga relaciones íntimas con el y se le acerca de manera inapropiada.,#ELAMORPORTUJARDIN,Impotencia ,Única vez,La calidad de las interacciones entre los actores.,0,0,0,0,0,0,1,0,0,0,Familias y otras personas significativas,,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Trabajo Colaborativo.,1,0,0,0,0,0,0,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,105523246,f5f8ec0a-fce1-4dd2-9eab-d8a094e3dced,2020-06-19T19:33:13,,10
2020-06-19T14:18:17.271-05:00,2020-06-19T14:35:25.880-05:00,2020-06-18,Sí,2020-06-19,Valle del Cauca,,H.I Cecilia Caballero De López,"Un día estaba en una actividad con mis niños sobre la temática de navidad, en ese entonces era ciclo 5b, donde junto con los niños y niñas estábamos ensayando nuestra presentación del baile ""El milagro"" el nacimiento del niño Dios, era un desafío ya que cada niña y niño tenía un personaje y así mismo debía incorporarse en tiempo a la historia, con vídeos se les presento la coreografía para que tuvieran idea de lo que íbamos a ensayar y desarrollar, los primeros días fue todo un reto, ya que era un poco complejo que ellos hicieran la función de sus personajes en los mismos tiempos del vídeo, así que decidí que llevarán algún accesorio que los identificara en cuanto a su personaje y así darle mas realismo al mismo, con ayuda de la auxiliar pedagógica se ensaya, y fue sorprenderte observar que ya estaban todos a la par en cuanto a sincronizados y hasta la canción de la presentación se la sabía, con los padres de familia se trabajo en conjunto ya que desde casa ellos le mostraban a papá, mamá y sus familias como íbamos hasta el día con los ensayos, entonces en casa ellos iban mejorando, y cuando estábamos en el hogar infantil al cantar lo hacían duro que motivaban a los otros niños a irnos a ver lo que hacíamos, llego el gran día, para la presentación, fue hermoso ver a cada niña y niño con su disfraz tan real a su personaje, junto a los padres de familia se adecuo un escenario similar al vídeo original, así que se podía observar un gran trabajo, los padres de familia de los otros niños eran fascinados al vernos disfrazados y la secuencia tan coordinada que llevaban aquellos niños, al finalizar nos aplaudieron de una forma increíble y definitivamente las niñas y niños lo hicieron excelente, se lucieron como yo le dije, y los padres de familia fueron los agentes motivadores quienes lograron esta gran presentación, esto fue en diciembre del año 2019.",Mis grandes personajes,Orgullo,Todo el tiempo,La vinculación de las familias a las propuestas del centro infantil.,0,0,1,0,0,0,0,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar.",1,0,0,0,0,0,Creatividad e Innovación.,0,0,0,0,0,0,1,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,105523471,5481c8b4-3092-4f86-8b18-ae0e38b52e29,2020-06-19T19:35:27,,11
2020-06-19T14:18:20.364-05:00,2020-06-19T14:35:52.020-05:00,2020-06-18,Sí,2020-06-19,Valle del Cauca,,HI las Palmeras,"ESTABA CON LOS NIÑOS EN EL SALON Y EN ESE MOMENTO INGRESO UNA MARIPOSA Y LOS NIÑOS COMENZARON A DECIR QUE ESTABA BUSCANDO LA FAMILIA Y QUE NO LA FERN A MATAR POR QUE ESTABA SOLITA TODOS ESTABAN TRISTE PERO EN ESE MOMENTO INGRESO OTRA MARIPOSA Y TODOS DECIAN QUE ERA LA MAMA QUE LA ESTABA BUSCANDO TODOS RELACIONARON CON SU FAMILIA Y LUEGO TODOS HABLABAN DE ESO Y COMENZARON A INVENTAR HISTORIA DE LO QUE HABIA PASADO, AL DIA SIGUIENTE LLEVE UNAS IMAGENES PARA QUE VIERAN COMO ERA EL NACIMIENTO DE LAS MARIPOSAS. FUE MUY INTERESANTE Y LOS NIÑOS ESTABAN CONTENTOS , FUE MUY SIGNIFICATIVO VER LA IMAGINACION QUE TIENEN LOS NIÑOS Y SU CAPACIDAD DE VER COSAS QUE COMO ADULTOS SE NOS PASA POR ALTO",#MARIPOSA,Alegría,De vez en cuando,La disposición intencionada de los espacios y ambientes.,0,0,0,0,0,1,0,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.",0,1,0,0,0,0,Creatividad e Innovación.,0,0,0,0,0,0,1,0,Potenciar el desarrollo de los niños y las niñas.,105523521,a8b1db47-6fb6-468b-8b20-5a39f98fac6e,2020-06-19T19:35:57,,12
2020-06-19T14:23:04.397-05:00,2020-06-19T14:39:03.303-05:00,2020-06-18,Sí,2020-06-19,Valle del Cauca,,CDI Madre Alberta,"Desde este tiempo he sentido que el trabajo con las familias ha sido muy significativo, ya que las actividades que se han realizado por video llamada es un metodo de promover la tecnología en un sentido positivo para al algunos padres de familia que no estaban acostumbrados a esa parte y para los niños y las niñas",#mascercadetodos,Motivación,De vez en cuando,La apropiación y uso de herramientas tecnológicas.,1,0,0,0,0,0,0,0,0,0,Agentes educativos,,Reflexioné y aprendí algo nuevo,"Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.",0,0,0,0,1,0,Sostenibilidad. Manejo de herramientas tecnológicas.,0,1,0,0,1,0,0,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,105523790,21ce604a-6d2e-4bc7-b205-109a5939acce,2020-06-19T19:39:05,,13
2020-06-19T14:18:26.299-05:00,2020-06-19T14:39:11.080-05:00,2020-06-18,Sí,2020-06-19,Valle del Cauca,,CDI Madre Alberta,"LA DISTANCIA NO ES IMPEDIMENTO PARA IMPARTIR AMOR Y CONOCIMIENTOS A NUESTRO NIÑOS Y NIÑAS... Era un día muy soleado, cuando escucho en las Noticias de RCN  al presidente DUQUE decir que entramos en 40tn, que esta se alargaría y  que las niñas y niñas no podrían regresar a su CDI...De repente pensé en las familias pero supe que de una u otra manera llegaríamos hasta la casa de cada uno para continuar con tan hermoso proceso de enriquecer conocimientos, De repente comenzó la virtualidad y pude conocer más a las niñas, niños y familias y supe que este cambio era positivo en cierta medida y que desde mi actitud positiva todo cambiaría, Además comencé a escuchar las hermosas sonrisas de mis niños,pues desde casa veían y escuchaban a su maestra en ese momento y hasta ahora lo tienen todo su familia y maestra en el mismo lugar, por ellos y por mi me alegro de las educación virtual, pues nuestro proceso no paró....Pero también desde ese momento le pedí a Dios que fe y alegria llegara a todos y que los niños que no tenían amor familiar nosotros desde la distancia se lo pudiéramos dar...Pues mi historia siempre será distinta a todas las demás así estemos bajo la misma situación, pues realmente cuando se ama esta profesión la distancia en una línea mínima, y en la actualidad mi gran narración es ....Desde la distancia continuo recibiendo y dando amor y apoyando en el proceso de mis niñas y niños",#LA DITANCIA NO IMPEDIRA LA EDUCACION DE CALIDAD,Motivación,Todo el tiempo,La vinculación de las familias a las propuestas del centro infantil. La calidad de las interacciones entre los actores.,0,0,1,0,0,0,1,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Resolución de problemas.,0,0,0,1,0,0,0,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,105523800,ffaad4f1-e522-4cbd-877c-6df26738594f,2020-06-19T19:39:13,,14
2020-06-19T14:18:29.896-05:00,2020-06-19T14:40:01.899-05:00,2020-06-18,Sí,2020-06-19,Valle del Cauca,,CDI Expresión de Amor,Como agente educativo estoy vendiendo  la experiencia que es estar aislada de los niños y niñas pero por medio de este medio hemos podido estar en contacto sin contacto y son experiencias muy gratificantes para mí ya que los padres de familia han logrado estar atentos y muy dispuestos en estás nuevas circunstancias de vida nos hemos puesto a la tarea de desaprender y reaprender cosas nuevas como son las herramientas tecnológicas son experiencias muy gratificante y maravillosas para todos así hemos podido estar más cerca de las familias y saber sus acerca de su entorno familiar,#en unión todo es posible #,Motivación,Todo el tiempo,La apropiación y uso de herramientas tecnológicas. La vinculación de las familias a las propuestas del centro infantil. Los momentos de alimentación de las niñas y los niños. El desempeño de los agentes educativos y sus prácticas. El acompañamiento a las transiciones de las niñas y los niños. La documentación de las experiencias realizadas en el centro infantil. El trabajo colaborativo entre los agentes educativos.,1,0,1,1,1,0,0,1,1,1,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",1,0,1,0,0,0,Trabajo Colaborativo. Manejo de herramientas tecnológicas. Creatividad e Innovación.,1,0,0,0,1,0,1,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,105523855,e4c1dc7f-641b-40fd-a7cf-d3c99917d8b7,2020-06-19T19:40:03,,15
