FragmentID, NarrID, SessionStartDate, SessionEndDate, ServerEntryDate,1.1 La educación deberá enfocarse en-Cumplir con el plan de estudios,1.1 La educación deberá enfocarse en-El desarrollo socio emocional del estudiante,1.1 La educación deberá enfocarse en-Quality,1.1 La educación deberá enfocarse en-X,1.1 La educación deberá enfocarse en-Y,1.1 La educación deberá enfocarse en-NA,1.2 Estudiantes necesitan cultivar-Habilidades prácticas para la vida,1.2 Estudiantes necesitan cultivar-Fundamentos para un aprendizaje continuo,1.2 Estudiantes necesitan cultivar-Comprensión del mundo que los rodea,1.2 Estudiantes necesitan cultivar-X,1.2 Estudiantes necesitan cultivar-Y,1.2 Estudiantes necesitan cultivar-NA,1.3 Los colegios deben enfocarse en que los estudiantes...-Reflexionen sobre lo aprendido,1.3 Los colegios deben enfocarse en que los estudiantes...-Apliquen los conocimientos,1.3 Los colegios deben enfocarse en que los estudiantes...-Experimenten con lo aprendido,1.3 Los colegios deben enfocarse en que los estudiantes...-X,1.3 Los colegios deben enfocarse en que los estudiantes...-Y,1.3 Los colegios deben enfocarse en que los estudiantes...-NA,"1.4 Vamos a tener que repensar-El plan de estudios, los horarios, las normas y las políticas",1.4 Vamos a tener que repensar-Cómo se invierten y se gestionan los recursos educativos,1.4 Vamos a tener que repensar-La formación y cualificación de los docentes,1.4 Vamos a tener que repensar-X,1.4 Vamos a tener que repensar-Y,1.4 Vamos a tener que repensar-NA,1.5 El cambio será liderado por-Secretarías y Ministerio,1.5 El cambio será liderado por-Docentes y rectores,1.5 El cambio será liderado por-Estudiantes y padres,1.5 El cambio será liderado por-X,1.5 El cambio será liderado por-Y,1.5 El cambio será liderado por-NA,1.6 Papel del docente-Mostarle nuevos mundos y posibilidades a los estudiantes,1.6 Papel del docente-Ayudarle a los estudiantes a alcanzar sus objetivos,1.6 Papel del docente-Dar soporte emocional a los estudiantes,1.6 Papel del docente-X,1.6 Papel del docente-Y,1.6 Papel del docente-NA,2.1 se animará a los estudiantes a aprender-...individualmente / independiente,2.1 se animará a los estudiantes a aprender-...socialmente / en grupo,2.1 se animará a los estudiantes a aprender-X,2.1 se animará a los estudiantes a aprender-NA,2.2 El aprendizaje será...-Liderado por el docente,2.2 El aprendizaje será...-Liderado por el estudiante,2.2 El aprendizaje será...-X,2.2 El aprendizaje será...-NA,"3.1 En general, se verán cambios en las áreas de ... (escoja hasta 2)_La comunidad y las relaciones","3.1 En general, se verán cambios en las áreas de ... (escoja hasta 2)_La filosofía del colegio","3.1 En general, se verán cambios en las áreas de ... (escoja hasta 2)_El aprendizaje y el crecimiento","3.1 En general, se verán cambios en las áreas de ... (escoja hasta 2)_Los problemas como oportunidades","3.1 En general, se verán cambios en las áreas de ... (escoja hasta 2)_Los premios y los reconocimientos","3.1 En general, se verán cambios en las áreas de ... (escoja hasta 2)_autonomía y el soporte","3.1 En general, se verán cambios en las áreas de ... (escoja hasta 2)_El desarrollo en general del estudiante","3.1 En general, se verán cambios en las áreas de ... (escoja hasta 2)_El crecimiento personal y los logros","3.1 En general, se verán cambios en las áreas de ... (escoja hasta 2)_otrro",Other_theme,4.1 I am a...,4.2 Género,4.3 Experience in education,4.4 Experience in institution,4.5 Levels taught_Preescolar,4.5 Levels taught_Básica primaria,4.5 Levels taught_Básica Secundaria,4.5 Levels taught_Media,4.6 Age,4.7 Professional qualifications,City,IE,Describa brevemente qué deben hacer las instituciones educativas y los docentes para prepararse para ofrecer una mejor educación de acuerdo con los retos actuales y futuros. Por favor resuma sus pensamientos en un párrafo corto.,Title,Utopia,Dystopia,ProjectID,ApplicationName,SessionID,Language
db290bf2-de9b-46b4-865c-c21c2d8bfbeb,5,,46:04.0,46:10.4,331.093,3.333.333,33.557.373,0.50224036,0.28866664,,32.835.922,34.615.387,32.548.695,0.4985639,0.29976922,,33.049.595,34.188.034,3.276.237,0.4985639,0.29606837,,3.194.665,34.188.034,3.386.531,0.5095933,0.29606837,,331.093,3.333.333,33.557.373,0.50224036,0.28866664,,32.254.593,35.042.732,3.270.267,0.50224036,0.30347008,,4.926.362,5.073.638,0.5073638,,57.709.564,42.290.436,0.42290434,,1,,,,,1,,,,,Docente,Mujer,De 11 a 20 años,De 3 a 5 años,,1,,,Entre 41 y 50 años,Licenciado,Medellín,IE Bello Oriente,Dos cosas fundamentales:  1. Estar en continua capacitación para adquirir las herramientas necesarias para confrontar los cambios 2. Se debe hacer inversión en recursos tecnológicos y didácticos.,inversión en educación,"Colegios públicos con la inversión del estado pertinente para infraestructura, personal idóneo para la atención de la comunidad (maestros de apoyo y psicólogos), dotación de herramientas tecnológicas adecuada y maestros constantemente capacitados.La visión que las comunidades tienen por el maestro se ha transformado dándole el lugar y el respeto que él y función tiene. Comunidades totalmente comprometidas con la educación, con el futuro de sus hijos y con su colegio.","Colegios sin dotación y sin infraestructura, sin personal de apoyo psicosocial propio, maestros con una profesión subvalorada por las comunidades y por el estado y por último, pero no menos importante, maestros sin capacitación continua, unos por falta de amor y ética por su profesión y otros, por falta de dinero para pagársela. Educación en constante atraso, no muy diferente de como es ahora.",FutureTeacher_Colombia2020,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Windows NT 6.1; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36",ccbd964a-f50c-4b6f-b676-9ba2afe6d724,es
7d772f73-c2d1-4ba4-95f1-5716bed2deaf,160,,15:03.2,15:13.4,8.835.164,28.205.124,62.959.705,0.77062273,0.24425639,,59.438.484,64.102.554,3.415.126,0.3735639,0.05551284,,7.122.627,6.324.786,2.962.951,0.61253446,0.54772645,,7.737.778,15.384.613,72.376.103,0.14929917,0.13323076,,7.441.146,18.376.068,7.212.471,0.16400506,0.15913677,,18.265.154,7.478.632,6.948.523,0.44341683,0.6476496,,17.675.781,8.232.422,0.8232422,,3.254.064,6.745.936,0.67459357,,,,,1,,,1,,,,Docente,Hombre,De 11 a 20 años,De 6 a 10 años,,1,,,Entre 31 y 40 años,Normalista,Cali,I.E.T.I. Luz Haydeé Guerrero Molina,"Las instituciones educativas deben ofrecer un mayor apoyo a la educación en el enfoque tecnológico tanto en lo material refiriéndome a elementos como tablets computadores internet entre otros como en la capacitación a docentes mejorando las practicas educativas la didáctica de aprendizaje y los métodos educativos. Ya que la tecnología, la programación y los medios informáticos son el futuro.",#laeducaciondelmañana,"Imagino que cada aula de clases tiene ya su vídeo proyector cada estudiante cuenta con un computador, el tablero es digital y las clases son muy interactivas.","la educación sin apoyo del gobierno sin siquiera una biblioteca en la institución en las aulas continúan los estudiantes, el maestro y el tablero con sus escasos materiales de trabajo y ejerciendo la misma didáctica de hace 60 años. copiar memorizar recitar...",FutureTeacher_Colombia2020,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36",0fb9135e-718b-4bf0-b8ce-7f203b9b8012,es
57f98692-8c77-4237-8e55-f8d40db350c7,6,,22:43.4,22:49.2,35.954.056,29.487.185,3.455.876,0.4930235,0.255359,,31.078.949,3.333.333,3.558.772,0.52254385,0.28866664,,31.700.268,35.042.732,33.256.996,0.50778365,0.30347008,,5.635.833,46.581.196,4.778.297,0.7107357,0.40339315,,4.259.454,45.726.498,11.678.957,0.34542206,0.39599144,,33.506.645,32.905.983,33.587.368,0.5004036,0.2849658,,4.413.698,5.586.302,0.5586302,,52.548.187,47.451.813,0.47451812,,,,1,,,,,1,,,Docente,Hombre,De 11 a 20 años,De 6 a 10 años,,1,,,Entre 31 y 40 años,Magister,Medellín,IE Enrique Olaya Herrera,Capacitación permanente en nuevos aprendizajes y enseñanzas,#maestrodelfuturo,Enseñanza perosnalizada,Mantenerse igual,FutureTeacher_Colombia2020,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Linux; Android 9; FIG-LX3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Mobile Safari/537.36",5048238f-3eb5-482c-83ec-1a008ea43204,es
80cb5c0d-f0ae-424d-ad53-ac35813c910e,7,,24:44.1,24:58.6,6.583.569,86.752.144,6.664.292,0.5004036,0.75127345,,581.482,34.188.004,9.076.637,0.92475784,0.029606836,,39.887.269,8.547.005,87.464.264,0.91737777,0.07401709,,63.777.895,59.829.025,87.639.305,0.90630764,0.051811963,,4.823.702,9.829.063,8.534.724,0.90261763,0.08511968,,9.016.133,2.991.455,68.472.147,0.083429426,0.025906008,,0.21173954,9.978.826,0.9978826,,0.21173954,9.978.826,0.9978826,,,1,1,,,,,,,,Docente,Mujer,De 11 a 20 años,De 11 a 20 años,,1,,,Entre 41 y 50 años,Magister,Medellín,IE Enrique Olaya Herrera,Cambiar el formato de la educación en su totalidad. Desde sus bases teóricas... Porque lo que hacemos esta desfazado dr toda realidad.,#cambiodelaeducacion,Trabajo en aulas por proyectos personalizados,"Continuamos como hasta ahora. Los niños odian el colegio y su método de, enseñanza",FutureTeacher_Colombia2020,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Linux; Android 9; MRD-LX3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Mobile Safari/537.36",62e4a7f3-19f4-443d-a5ff-9f891e5ea104,es
bf949b21-663d-4db2-aa05-81e15f05cbdb,8,,25:25.1,25:27.2,869.062,8.290.598,8.403.394,0.4985639,0.71796584,,74.462.757,59.829.025,8.657.082,0.89562273,0.051811963,,9.977.596,0,0.22403494,0.002240349,0,,6.830.386,42.735.066,8.889.611,0.91032857,0.037008546,,29.465.282,9.145.299,56.004.834,0.5132698,0.7919829,,48.444.676,9.059.829,4.557.241,0.4985639,0.7845812,,0.10821223,99.891.785,0.9989179,,4.791.227,5.208.773,0.5208773,,1,,1,,,,,,,,Docente,Mujer,Más de 20 años,De 11 a 20 años,,1,,,Entre 41 y 50 años,Magister,Cali,I.E. Manuel María Mallarino,"Pienso que es necesario que las Instituciones abran sus puertas y sean un verdadero puente entre el currículo y la comunidad, pero esto solo se consigue con un cambio de actitud entre directivos y docentes para poder llegar a nuestros padres y a las diferentes comunidades. Los docentes debemos dejar de pensar como personas de siglo XX, que nos actualicemos en temas cognitivos y tecnológicos y sobre todo que entendamos que el eje de la educación son nuestros chicos, desde este punto de vista, debemos permitir que ellos alcancen competencias para que afronten los retos que la vida trae a diario y se desenvuelvan en un mundo globalizado y cambiante.",HUMANICEMOS LA EDUCACIÓN,"PERSONAS CON UNA ACTITUD RESILIENTE, EN UN MUNDO TECNOLÓGICO, PERO SIN PERDER SU HUMANIDAD, VALORANDO Y PRESERVANDO NUESTRO PLANETA COMO EL LUGAR DONDE CONVIVIMOS E INTERACTUAMOS EN PAZ Y ARMONIA SIN BRECHAS SOCIALES QUE DIVIDAN Y AMINOREN A LA POBLACIÓN.",UN PLANETA CONSUMIDO PR LA INTELIGENCIA ARTIFICIAL DONDE IMPERA SOLO LO TECNOLOGÍ Y EL SER HUMANO QUEDÓ TOTALMENTE REDUCIDO AL IGUAL QUE NUESTRO AMBIENTE.,FutureTeacher_Colombia2020,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36 Edg/83.0.478.54",fc837117-68eb-4b54-9f9a-a46766e61d88,es
514b272d-1cda-4a30-9dc5-3d2f90e73757,9,,55:28.9,56:03.6,0.47668946,9.786.325,16.600.586,0.50591683,0.8474957,,0.8097754,95.726.494,34.637.306,0.5132698,0.8289915,,72.043.166,9.102.564,17.700.391,0.4728286,0.78828204,,26.637.256,87.606.834,9.729.438,0.53532857,0.7586752,,25.883.057,965.812,0.8304931,0.49121094,0.8363932,,0.8443359,9.786.325,1.292.412,0.50224036,0.8474957,,0.6149709,9.938.503,0.9938503,,17.974.019,982.026,0.982026,,1,1,,,,,,,,,Docente,Mujer,Más de 20 años,De 11 a 20 años,,1,,,Entre 51 y 60 años,Licenciado,Medellín,IE Álvaro Marín Velasco,Innovar la Educación fortaleciendo la parte humana y tecnológica.,REPENSAR LA EDUCACIÓN,No tener acceso a la educación,"Economía estable, educación mejorada.",FutureTeacher_Colombia2020,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36",65307b3a-835e-42b1-a860-85c056f38f09,es
54af28ef-fc4d-473a-a77c-217143f4265c,142,,47:18.6,47:22.9,1.655.055,3.888.889,59.456.062,0.78900504,0.33677778,,0.10905274,47.863.243,52.027.702,0.7595933,0.4144957,,55.658.318,0,44.341.682,0.44341683,0,,38.106.542,448.718,5.131.755,0.73753446,0.38858974,,33.417.236,34.188.034,32.394.726,0.4948874,0.29606837,,3.277.621,35.470.085,317.537,0.4948874,0.30717096,,4.740.551,5.259.449,0.5259449,,7.477.038,25.229.624,0.25229624,,,,1,,,,,1,,,Docente,Mujer,Más de 20 años,De 11 a 20 años,,,1,,Entre 51 y 60 años,Especialista,Medellín,IE Enrique Olaya Herrera,"Los docentes deben prepararse en psicología, en el manejo de las herramientas virtuales, las competencias virtuales y en enseñanza por proyectos. De igual forma los rectores deben prepararse en gestión del Talento Humano, administración organizacional y relaciones públicas.",GESTIÓN DEL TALENTO HUMANO PARA LA  CALIDAD DE LA EDUCACIÓN,"El ideal sería estudiantes aprendiendo de forma diferente; aprendiendo mediante la realización de proyectos productivos, no investigativos. el conocimiento ya está dado. Sólo es cuestión de tomarlo y aplicarlo.","Pero sospecho que el ideal está en manos de los gobernantes del mundo(aspiran a que la educación sea sólo virtual). Al parecer el ideal de esa educación es dejar sentimientos a un lado.  Aunque me parece mejor; tal vez así los jóvenes dejan tanta violencia. Mientras los jóvenes no aprendan en el hogar a relacionarse con respeto y aplicando normas de convivencia, en la calle no podrán relacionarse bien; a menos que se les enseñe con pedagogía reeducativa.",FutureTeacher_Colombia2020,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",faf33ff7-2dff-46c3-a0b7-e061cba09435,es
5a4e6ffb-e68a-4638-9f34-4cebf25e1612,10,,07:14.8,07:37.2,67.002.683,8.504.273,8.256.997,0.50778365,0.73647004,,854.999,64.102.554,8.089.844,0.11294972,0.05551284,,8.358.423,94.017.105,8.223.987,0.8694073,0.0814188,,8.630.445,8.119.659,8.324.989,0.8730973,0.07031626,,8.902.466,6.837.609,8.425.992,0.87678736,0.05921367,,7.503.727,11.111.108,8.138.517,0.8694073,0.096222214,,16.304.374,9.836.956,0.9836956,,7.065.219,92.934.784,0.9293478,,1,,,,,,,1,,,Docente,Hombre,De 11 a 20 años,De 11 a 20 años,,1,,,Entre 41 y 50 años,Magister,Medellín,IE Enrique Olaya Herrera,Debemos repensar una sociedad que se forme en valores y donde la humanizacion sea uno de sus fundamentos o principios.,Emotividad y humanizacion,Personas capaces de estar en armonia con la naturaleza y la razón misma de la existencia humana.,Seres incapaces de reconocerse a sí mismo como parte deLo universo...La inmortalidad y la trascendendencia misma de la vida.,FutureTeacher_Colombia2020,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Linux; Android 5.1.1; SM-J120M Build/LMY47X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.89 Mobile Safari/537.36",3064aad4-b978-4a57-bf2c-3e2435d5477a,es
351cf406-7b75-42dc-bb72-298b5e754101,11,,04:49.9,06:27.2,38.357.909,9.188.034,4.283.867,0.50224036,0.79568374,,45.596.725,9.829.063,4.457.421,0.4948874,0.08511968,,44.066.437,10.683.763,45.249.805,0.50591683,0.092521384,,42.875.515,46.153.843,10.970.645,0.34047565,0.3996923,,33.322.968,32.905.983,33.771.046,0.50224036,0.2849658,,41.904.552,17.948.715,40.146.736,0.49121094,0.15543589,,60.203.733,9.397.963,0.93979627,,33.385.242,6.661.476,0.6661476,,1,,,,,,,1,,,Docente,Hombre,De 1 a 2 años,Menos de un año,,,1,,Entre 21 y 30 años,Licenciado,Medellín,IE Bello Oriente,cada institución debe tener un plan de emergencia como la situación que estamos viviendo,#PorUnFuturoEducativoMejor,El mejor futuro es que se haya aprendido de la situacion para mejorar y no volver a repetir los errores que se cometieron,El peor es que sigamos con la misma manera de pensar y no hubiesemos cambiado nuestra forma actuar y ver la vida,FutureTeacher_Colombia2020,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Windows NT 6.1; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36",aa328bd9-7969-4d3a-b78b-8f1091d964df,es
ac7d1d25-8272-454a-a6e8-444b6477555a,12,,26:10.3,28:11.3,9.147.673,8.162.393,9.228.395,0.5004036,0.7068632,,36.090.466,24.786.324,3.912.321,0.5151637,0.21464956,,9.982.661,8.290.598,7.111.353,0.48564345,0.71796584,,4.520.044,10.256.409,4.454.315,0.49671355,0.08882051,,30.573.542,38.034.187,31.392.271,0.50409365,0.32937607,,4.224.762,1.837.607,39.376.316,0.48564345,0.15913677,,53.482.773,4.651.723,0.46517232,,50.679.028,4.932.097,0.4932097,,1,,1,,,,,,,,Docente,Hombre,De 3 a 5 años,De 1 a 2 años,,,1,1,Entre 41 y 50 años,Especialista,Medellín,IE Álvaro Marín Velasco,Yo pienso que deberíamos de prepararnos mejor en tecnología para así  desarrollar y aplicar de forma óptima los diferentes conocimientos.,Tecnología para la vida.,El hombre en el 2030 sera dependiente de nuevos inventos tecnológicos para realizar todas sus actividades cotidianas.,"Se perderá la calidez humana el hombre vivirá como si fuera una maquina sin sentimientos, sin valores humanos.",FutureTeacher_Colombia2020,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Linux; Android 5.1; HUAWEI TAG-L03) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",423a4c73-c210-4808-ba45-5ac22899e505,es
